"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"12 Dec 2025","FUTCOM","ALUMINI      ","31DEC2025","-","0.00","280.30","282.35","277.25","278.85","280.80","2778","2778.000 KGS  ","7792.16","1026"
"12 Dec 2025","FUTCOM","ALUMINI      ","30JAN2026","-","0.00","284.25","285.30","281.05","281.70","283.35","480","480.000 KGS  ","1361.91","234"
"12 Dec 2025","FUTCOM","ALUMINI      ","27FEB2026","-","0.00","286.00","287.40","284.05","284.55","285.45","44","44.000 KGS  ","125.78","74"
"12 Dec 2025","FUTCOM","ALUMINI      ","31MAR2026","-","0.00","","","","288.40","288.40","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","FUTCOM","ALUMINI      ","30APR2026","-","0.00","","","","291.00","291.00","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","FUTCOM","ALUMINIUM    ","31DEC2025","-","0.00","278.60","282.20","278.00","278.90","280.70","2098","10490.000 KGS  ","29425.73","2914"
"12 Dec 2025","FUTCOM","ALUMINIUM    ","30JAN2026","-","0.00","283.65","285.05","280.65","281.55","283.50","860","4300.000 KGS  ","12188.13","1228"
"12 Dec 2025","FUTCOM","ALUMINIUM    ","27FEB2026","-","0.00","284.65","288.65","284.40","286.20","284.20","137","685.000 KGS  ","1966.05","108"
"12 Dec 2025","FUTCOM","ALUMINIUM    ","31MAR2026","-","0.00","","","","289.05","289.05","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","FUTCOM","ALUMINIUM    ","30APR2026","-","0.00","","","","291.85","291.85","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","FUTCOM","CARDAMOM     ","31DEC2025","-","0.00","2620.00","2664.00","2620.00","2657.00","2651.00","19","1.900 KGS  ","50.43","40"
"12 Dec 2025","FUTCOM","CARDAMOM     ","30JAN2026","-","0.00","","","","2620.00","2620.00","0","0.000 KGS  ","0.00","3"
"12 Dec 2025","FUTCOM","CARDAMOM     ","27FEB2026","-","0.00","","","","2632.00","2632.00","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","FUTCOM","CARDAMOM     ","31MAR2026","-","0.00","","","","2632.00","2632.00","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","FUTCOM","CARDAMOM     ","30APR2026","-","0.00","","","","2632.00","2632.00","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","880.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","1035.00","75.00","75.00","75.00","75.00","76.98","1","2.500 KGS  ","27.75","2"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","1120.00","14.11","23.55","6.62","9.98","15.04","2901","7252.500 KGS  ","82445.37","394"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","885.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","1030.00","90.86","90.86","78.00","84.65","66.15","3","7.500 KGS  ","83.60","33"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","1115.00","19.50","23.20","16.40","20.38","16.94","38","95.000 KGS  ","1078.27","10"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1140.00","","","","33.58","33.58","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","940.00","","","","171.52","171.52","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","950.00","","","","161.54","161.54","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","975.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1040.00","1.95","2.48","1.35","1.73","1.89","138","345.000 KGS  ","3594.34","140"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1060.00","3.86","7.17","2.09","4.79","2.84","307","767.500 KGS  ","8168.24","176"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","920.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","965.00","","","","146.57","146.57","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","1005.00","","","","106.67","106.67","0","0.000 KGS  ","0.00","2"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1020.00","0.71","1.99","0.71","1.23","1.08","33","82.500 KGS  ","842.48","147"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","1090.00","31.49","41.51","13.52","21.20","30.71","532","1330.000 KGS  ","14803.71","146"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1115.00","19.96","19.96","13.49","14.74","17.14","11","27.500 KGS  ","310.81","7"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","920.00","","","","191.49","191.49","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","980.00","","","","131.60","131.60","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","1055.00","","","","57.85","57.85","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1080.00","5.63","15.96","3.83","10.25","5.67","848","2120.000 KGS  ","23085.60","218"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","900.00","","","","211.45","211.45","0","0.000 KGS  ","0.00","0"
"12 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","935.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
