CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKBHARTIARTL30-DEC-2025,2087.1000000,2076.8000000,2085.0000000,2066.3000000,2077.2000000,2077.2000000,-0.4700000,91063.0000000,1945125.0000000,4095.0000000,4039347085.0000000
FUTSTKBHARTIARTL27-JAN-2026,2099.8000000,2089.4000000,2095.9000000,2082.1000000,2089.9000000,2089.9000000,-0.4700000,8558.0000000,129675.0000000,273.0000000,270892595.0000000
FUTSTKBHARTIARTL24-FEB-2026,2111.0000000,2100.8000000,2109.9000000,2096.0000000,2101.6000000,2101.6000000,-0.4400000,612.0000000,9500.0000000,20.0000000,19991325.0000000
FUTSTKCOFORGE27-JAN-2026,1866.9000000,1867.1000000,1887.5000000,1850.0000000,1885.1000000,1885.1000000,0.9700000,1315.0000000,155250.0000000,414.0000000,290936400.0000000
FUTSTKCOFORGE30-DEC-2025,1860.1000000,1860.5000000,1880.9000000,1841.3000000,1877.6000000,1877.6000000,0.9400000,31462.0000000,1603125.0000000,4275.0000000,2994430575.0000000
FUTSTKCOFORGE24-FEB-2026,1869.2000000,1869.1000000,1886.6000000,1860.0000000,1884.2000000,1884.2000000,0.8000000,162.0000000,35250.0000000,94.0000000,66008962.5000000
FUTSTKCROMPTON24-FEB-2026,258.2500000,256.4000000,257.3500000,255.8000000,257.0000000,257.0000000,-0.4800000,399.0000000,68400.0000000,38.0000000,17539020.0000000
FUTSTKCROMPTON27-JAN-2026,256.5500000,255.4500000,256.3000000,254.0000000,255.3000000,255.3000000,-0.4800000,1822.0000000,232200.0000000,129.0000000,59235390.0000000
FUTSTKCROMPTON30-DEC-2025,255.1000000,255.5000000,255.5000000,252.2500000,253.7500000,253.7500000,-0.5200000,29565.0000000,1918800.0000000,1066.0000000,486310500.0000000
FUTSTKDIVISLAB24-FEB-2026,6518.5000000,6465.5000000,6474.0000000,6429.0000000,6441.0000000,6441.0000000,-1.1800000,49.0000000,1200.0000000,12.0000000,7744800.0000000
FUTSTKDIVISLAB30-DEC-2025,6440.0000000,6405.5000000,6438.5000000,6351.0000000,6373.0000000,6373.0000000,-1.0400000,29231.0000000,169400.0000000,1694.0000000,1082112200.0000000
FUTSTKDIVISLAB27-JAN-2026,6474.0000000,6440.0000000,6463.5000000,6382.0000000,6410.5000000,6410.5000000,-0.9800000,740.0000000,16100.0000000,161.0000000,103234200.0000000
FUTSTKHAL30-DEC-2025,4311.3000000,4271.0000000,4360.9000000,4271.0000000,4341.4000000,4341.4000000,0.6900000,61601.0000000,938700.0000000,6258.0000000,4069616910.0000000
FUTSTKHAL27-JAN-2026,4334.7000000,4325.5000000,4386.0000000,4301.0000000,4365.4000000,4365.4000000,0.7000000,5848.0000000,231900.0000000,1546.0000000,1011164700.0000000
FUTSTKHAL24-FEB-2026,4347.0000000,4340.0000000,4392.0000000,4327.0000000,4373.3000000,4373.3000000,0.6000000,921.0000000,36900.0000000,246.0000000,161188035.0000000
FUTSTKHINDUNILVR30-DEC-2025,2265.2000000,2265.0000000,2303.0000000,2256.6000000,2296.0000000,2296.0000000,1.3500000,28825.0000000,2249400.0000000,7498.0000000,5146762320.0000000
FUTSTKHINDUNILVR24-FEB-2026,2294.1000000,2259.0000000,2330.0000000,2259.0000000,2323.6000000,2323.6000000,1.2800000,509.0000000,37200.0000000,124.0000000,85982220.0000000
FUTSTKHINDUNILVR27-JAN-2026,2281.3000000,2281.6000000,2318.0000000,2273.3000000,2311.0000000,2311.0000000,1.3000000,4912.0000000,370500.0000000,1235.0000000,852573720.0000000
FUTSTKIOC30-DEC-2025,164.3800000,165.5000000,169.4200000,162.8000000,169.2100000,169.2100000,2.9300000,17915.0000000,32608875.0000000,6689.0000000,5438737248.7500000
FUTSTKIOC24-FEB-2026,165.5400000,165.5400000,170.9100000,164.5000000,170.7200000,170.7200000,3.1200000,127.0000000,448500.0000000,92.0000000,75683010.0000000
FUTSTKIOC27-JAN-2026,165.2800000,165.7400000,170.3800000,163.7500000,170.1300000,170.1300000,2.9300000,823.0000000,3651375.0000000,749.0000000,613466051.2500000
FUTSTKIRCTC30-DEC-2025,677.1000000,677.1000000,677.1000000,672.0000000,675.1500000,675.1500000,-0.2800000,20765.0000000,774375.0000000,885.0000000,522035631.2500000
FUTSTKIRCTC27-JAN-2026,680.3500000,676.7000000,679.2000000,675.8000000,678.5500000,678.5500000,-0.2600000,2057.0000000,271250.0000000,310.0000000,183862087.5000000
FUTSTKIRCTC24-FEB-2026,681.2500000,679.0000000,681.1000000,676.5000000,679.4000000,679.4000000,-0.2700000,352.0000000,34125.0000000,39.0000000,23162956.2500000
FUTSTKMUTHOOTFIN24-FEB-2026,3884.3000000,3895.3000000,3902.3000000,3850.0000000,3897.8000000,3897.8000000,0.3400000,118.0000000,12925.0000000,47.0000000,50234002.5000000
FUTSTKMUTHOOTFIN30-DEC-2025,3852.4000000,3868.0000000,3875.0000000,3811.7000000,3867.4000000,3867.4000000,0.3800000,9763.0000000,800250.0000000,2910.0000000,3082366540.0000000
FUTSTKMUTHOOTFIN27-JAN-2026,3870.6000000,3855.4000000,3892.3000000,3831.2000000,3880.0000000,3880.0000000,0.2400000,762.0000000,122100.0000000,444.0000000,472837832.5000000
FUTSTKNBCC24-FEB-2026,111.4500000,112.5000000,117.5000000,112.5000000,116.8200000,116.8200000,4.8100000,63.0000000,221000.0000000,34.0000000,25787255.0000000
FUTSTKNBCC30-DEC-2025,110.0600000,109.2100000,116.7200000,109.0000000,115.8500000,115.8500000,5.2600000,12705.0000000,44830500.0000000,6897.0000000,5151420950.0000000
FUTSTKNBCC27-JAN-2026,110.6900000,110.1800000,117.4000000,109.4700000,116.5000000,116.5000000,5.2400000,519.0000000,4127500.0000000,635.0000000,475688135.0000000
FUTIDXNIFTY27-JAN-2026,26300.4000000,26238.4000000,26288.0000000,26155.0000000,26268.7000000,26268.7000000,-0.1200000,21847.0000000,361270.0000000,5558.0000000,9476083708.0000000
FUTIDXNIFTY24-FEB-2026,26443.4000000,26402.7000000,26426.0000000,26310.0000000,26407.3000000,26407.3000000,-0.1300000,7700.0000000,95225.0000000,1465.0000000,2511472528.5000000
FUTIDXNIFTY30-DEC-2025,26145.4000000,26070.0000000,26132.5000000,25987.8000000,26108.7000000,26108.7000000,-0.1400000,211667.0000000,4520850.0000000,60278.0000000,117842559862.5000000
FUTIDXNIFTYNXT5030-DEC-2025,68687.8000000,68339.4000000,68802.0000000,68260.0000000,68780.6000000,68780.6000000,0.1300000,1047.0000000,4475.0000000,179.0000000,306650515.0000000
FUTIDXNIFTYNXT5024-FEB-2026,69278.0000000,0.0000000,0.0000000,0.0000000,,69360.6000000,0.1100000,0.0000000,0.0000000,0.0000000,0.0000000
FUTIDXNIFTYNXT5027-JAN-2026,69061.4000000,68850.0000000,69296.6000000,68711.0000000,69296.6000000,69296.6000000,0.3400000,116.0000000,575.0000000,23.0000000,39649045.0000000
FUTSTKOFSS27-JAN-2026,8054.5000000,8060.0000000,8063.0000000,7990.0000000,8021.5000000,8021.5000000,-0.4000000,751.0000000,8850.0000000,118.0000000,71018062.5000000
FUTSTKOFSS24-FEB-2026,8093.5000000,8051.5000000,8099.0000000,8051.5000000,8061.0000000,8061.0000000,-0.4000000,75.0000000,825.0000000,11.0000000,6660300.0000000
FUTSTKOFSS30-DEC-2025,8022.5000000,8021.5000000,8035.5000000,7950.0000000,7990.5000000,7990.5000000,-0.3900000,17641.0000000,88800.0000000,1184.0000000,709083450.0000000
FUTSTKOIL24-FEB-2026,406.3000000,403.0000000,405.7500000,400.0000000,405.7500000,407.9000000,0.3900000,93.0000000,18200.0000000,13.0000000,7346710.0000000
FUTSTKOIL27-JAN-2026,407.3500000,405.3000000,407.2000000,401.1500000,406.6000000,406.6000000,-0.1800000,303.0000000,137200.0000000,98.0000000,55568450.0000000
FUTSTKOIL30-DEC-2025,405.6000000,403.4500000,406.0500000,399.0000000,405.1000000,405.1000000,-0.1200000,7634.0000000,763000.0000000,545.0000000,307427330.0000000
FUTSTKPNBHOUSING27-JAN-2026,949.9000000,946.0000000,958.4500000,910.1500000,928.3500000,928.3500000,-2.2600000,747.0000000,458900.0000000,706.0000000,428117950.0000000
FUTSTKPNBHOUSING30-DEC-2025,943.3500000,940.7500000,951.4000000,904.4000000,923.8000000,923.8000000,-2.0700000,24471.0000000,4231500.0000000,6510.0000000,3902257157.5000000
FUTSTKPNBHOUSING24-FEB-2026,960.3500000,960.0000000,960.0000000,917.0000000,930.0000000,931.9500000,-2.9500000,44.0000000,13000.0000000,20.0000000,12132640.0000000
FUTSTKSUZLON24-FEB-2026,53.9000000,53.4900000,54.0700000,53.3200000,53.9700000,53.9700000,0.1200000,362.0000000,821275.0000000,91.0000000,44069887.2500000
FUTSTKSUZLON27-JAN-2026,53.5800000,53.6500000,53.8600000,52.9800000,53.6700000,53.6700000,0.1600000,3411.0000000,9674800.0000000,1072.0000000,517858290.5000000
FUTSTKSUZLON30-DEC-2025,53.2900000,53.2200000,53.5500000,52.6800000,53.3600000,53.3600000,0.1300000,30990.0000000,19360000.0000000,2420.0000000,1029668720.0000000
FUTIDXBANKNIFTY24-FEB-2026,60329.2000000,60027.6000000,60400.0000000,60027.6000000,60332.8000000,60332.8000000,0.0000000,1510.0000000,13200.0000000,440.0000000,795242010.0000000
FUTIDXBANKNIFTY30-DEC-2025,59657.8000000,59599.8000000,59750.0000000,59348.0000000,59678.0000000,59678.0000000,0.0300000,48781.0000000,694050.0000000,19830.0000000,41346611201.0000000
FUTIDXBANKNIFTY27-JAN-2026,59961.4000000,59801.4000000,60045.2000000,59699.0000000,59984.8000000,59984.8000000,0.0300000,6232.0000000,43530.0000000,1451.0000000,2607489516.0000000
FUTSTKCONCOR27-JAN-2026,510.2000000,509.1000000,510.8500000,506.0000000,507.8500000,507.8500000,-0.4600000,2006.0000000,321250.0000000,257.0000000,163294125.0000000
FUTSTKCONCOR30-DEC-2025,507.2500000,505.0000000,507.0000000,502.9000000,504.7500000,504.7500000,-0.4900000,29611.0000000,1351250.0000000,1081.0000000,682446750.0000000
FUTSTKCONCOR24-FEB-2026,510.8000000,508.8000000,510.8000000,507.0000000,508.8500000,508.8500000,-0.3800000,275.0000000,18750.0000000,15.0000000,9539812.5000000
FUTSTKHDFCBANK30-DEC-2025,1005.0000000,994.1000000,1005.6000000,994.1000000,998.7000000,998.7000000,-0.6200000,352439.0000000,9598050.0000000,17451.0000000,9596395490.0000000
FUTSTKHDFCBANK24-FEB-2026,1016.7000000,1012.6000000,1016.8000000,1008.9000000,1010.7000000,1010.7000000,-0.5900000,1530.0000000,65450.0000000,119.0000000,66202070.0000000
FUTSTKHDFCBANK27-JAN-2026,1011.5000000,1007.0000000,1011.7000000,1002.7000000,1005.0000000,1005.0000000,-0.6400000,39434.0000000,1236400.0000000,2248.0000000,1243402655.0000000
FUTSTKHEROMOTOCO27-JAN-2026,6022.0000000,5972.5000000,6020.0000000,5932.0000000,6003.0000000,6003.0000000,-0.3100000,1109.0000000,36300.0000000,242.0000000,217259625.0000000
FUTSTKHEROMOTOCO24-FEB-2026,6006.5000000,5955.0000000,6000.5000000,5921.5000000,5990.5000000,5990.5000000,-0.2600000,210.0000000,3900.0000000,26.0000000,23255700.0000000
FUTSTKHEROMOTOCO30-DEC-2025,5988.5000000,5950.0000000,5989.5000000,5902.0000000,5969.0000000,5969.0000000,-0.3200000,38434.0000000,621300.0000000,4142.0000000,3697694850.0000000
FUTSTKICICIPRULI30-DEC-2025,649.3500000,652.9000000,654.1500000,641.6500000,651.7500000,651.7500000,0.3600000,16830.0000000,2465125.0000000,2665.0000000,1599429062.5000000
FUTSTKICICIPRULI27-JAN-2026,652.9500000,652.1000000,657.6500000,645.5500000,655.4500000,655.4500000,0.3800000,350.0000000,166500.0000000,180.0000000,108558786.2500000
FUTSTKICICIPRULI24-FEB-2026,657.4000000,652.8500000,660.4000000,651.3500000,660.4000000,660.4000000,0.4500000,40.0000000,4625.0000000,5.0000000,3031317.5000000
FUTSTKIEX24-FEB-2026,144.2200000,142.7800000,144.4400000,142.7800000,143.5000000,143.8300000,-0.2700000,287.0000000,56250.0000000,15.0000000,8094375.0000000
