Futures on individual securities                                                                    
S No      ,Symbol    ,Traded Value (Rs.)                 ,No of Contracts                                   
1         ,360ONE    ,      478070250.00,              840
2         ,ABB       ,     1690902563.00,             2563
3         ,ABCAPITAL ,     3275009570.00,             3006
4         ,ADANIENSOL,      910325790.00,             1345
5         ,ADANIENT  ,     4943257658.00,             7076
6         ,ADANIGREEN,     2286972720.00,             3686
7         ,ADANIPORTS,     3064899168.00,             4280
8         ,ALKEM     ,      621123125.00,              879
9         ,AMBER     ,     1366777900.00,             2018
10        ,AMBUJACEM ,     1795352108.00,             3114
11        ,ANGELONE  ,     2233307375.00,             3557
12        ,APLAPOLLO ,      969413620.00,             1592
13        ,APOLLOHOSP,     2934244313.00,             3302
14        ,ASHOKLEY  ,     5338095950.00,             6428
15        ,ASIANPAINT,     3798782900.00,             5436
16        ,ASTRAL    ,     5244469655.00,             8479
17        ,AUBANK    ,     3344633450.00,             3402
18        ,AUROPHARMA,     1805919940.00,             2777
19        ,AXISBANK  ,    32146905188.00,            41449
20        ,BAJAJ-AUTO,     3594322950.00,             5324
21        ,BAJAJFINSV,     3464675325.00,             6756
22        ,BAJFINANCE,     8273207775.00,            10954
23        ,BANDHANBNK,       93811248.00,              173
24        ,BANKBARODA,     3656095999.00,             4413
25        ,BANKINDIA ,      979914416.00,             1341
26        ,BDL       ,     2518817955.00,             5608
27        ,BEL       ,     5621279509.00,            10162
28        ,BHARATFORG,     2063827400.00,             2916
29        ,BHARTIARTL,    11633999393.00,            11647
30        ,BHEL      ,     3586919963.00,             4887
31        ,BIOCON    ,     1442035500.00,             1487
32        ,BLUESTARCO,      715204360.00,             1211
33        ,BOSCHLTD  ,      756898000.00,              835
34        ,BPCL      ,     2357011116.00,             3254
35        ,BRITANNIA ,     2890617625.00,             3787
36        ,BSE       ,    11446096125.00,            11688
37        ,CAMS      ,      929547450.00,             1643
38        ,CANBK     ,     4321347435.00,             4344
39        ,CDSL      ,     1772431768.00,             2475
40        ,CGPOWER   ,     1580461610.00,             2766
41        ,CHOLAFIN  ,     2230824313.00,             2067
42        ,CIPLA     ,     1730477063.00,             3061
43        ,COALINDIA ,     1993010805.00,             3859
44        ,COFORGE   ,     3648763500.00,             5224
45        ,COLPAL    ,     1897293240.00,             3867
46        ,CONCOR    ,     1555721875.00,             2481
47        ,CROMPTON  ,      683464770.00,             1495
48        ,CUMMINSIND,     1560610240.00,             1729
49        ,CYIENT    ,      488795603.00,             1000
50        ,DABUR     ,     1764268563.00,             2807
51        ,DALBHARAT ,     1349644595.00,             2000
52        ,DELHIVERY ,     1239991780.00,             1477
53        ,DIVISLAB  ,     1522273950.00,             2403
54        ,DIXON     ,     6872050200.00,            10040
55        ,DLF       ,     2215499055.00,             3871
56        ,DMART     ,     3758840835.00,             6447
57        ,DRREDDY   ,     1421681688.00,             1777
58        ,EICHERMOT ,     4172867175.00,             3503
59        ,ETERNAL   ,    18462332161.00,            26437
60        ,EXIDEIND  ,     1203341130.00,             1814
61        ,FEDERALBNK,     4154378000.00,             3144
62        ,FORTIS    ,     1931515605.00,             2838
63        ,GAIL      ,     2050837016.00,             3846
64        ,GLENMARK  ,     2704952100.00,             3653
65        ,GMRAIRPORT,     3914089954.00,             5368
66        ,GODREJCP  ,     3734820650.00,             6285
67        ,GODREJPROP,     1440185835.00,             2563
68        ,GRASIM    ,     2161750600.00,             3069
69        ,HAL       ,     4493583705.00,             6986
70        ,HAVELLS   ,     1258832700.00,             1771
71        ,HCLTECH   ,     5375460965.00,             9245
72        ,HDFCAMC   ,     3482950860.00,             4474
73        ,HDFCBANK  ,    27834788630.00,            50594
74        ,HDFCLIFE  ,     3190789745.00,             3734
75        ,HEROMOTOCO,     3172157700.00,             3544
76        ,HFCL      ,      637073660.00,             1499
77        ,HINDALCO  ,     5840052260.00,             9935
78        ,HINDPETRO ,     2324276066.00,             2467
79        ,HINDUNILVR,     3395181240.00,             4927
80        ,HINDZINC  ,     7090102040.00,            10197
81        ,HUDCO     ,     1165744478.00,             1980
82        ,ICICIBANK ,    15174146960.00,            15829
83        ,ICICIGI   ,     1052469048.00,             1654
84        ,ICICIPRULI,     1563330521.00,             2608
85        ,IDEA      ,    10101194369.00,            12456
86        ,IDFCFIRSTB,     5205244732.00,             6702
87        ,IEX       ,      812326050.00,             1535
88        ,IIFL      ,     1050670335.00,             1121
89        ,INDHOTEL  ,     1682702950.00,             2305
90        ,INDIANB   ,     2024638150.00,             2613
91        ,INDIGO    ,     9918549825.00,            13244
92        ,INDUSINDBK,     3661980210.00,             6166
93        ,INDUSTOWER,     3113670530.00,             4474
94        ,INFY      ,    17759847760.00,            27755
95        ,INOXWIND  ,     1069662613.00,             2563
96        ,IOC       ,     4715696066.00,             5750
97        ,IRCTC     ,      969843088.00,             1646
98        ,IREDA     ,      861660098.00,             1864
99        ,IRFC      ,      552006788.00,             1153
100       ,ITC       ,     7144682640.00,            11026
101       ,JINDALSTEL,     1981939500.00,             3122
102       ,JIOFIN    ,     4005055063.00,             5737
103       ,JSWENERGY ,     1974085250.00,             4117
104       ,JSWSTEEL  ,     6579341303.00,             8903
105       ,JUBLFOOD  ,     4709580375.00,             6634
106       ,KALYANKJIL,     1309658173.00,             2328
107       ,KAYNES    ,     3869711150.00,             9216
108       ,KEI       ,      783683425.00,             1076
109       ,KFINTECH  ,      542826100.00,             1143
110       ,KOTAKBANK ,     7565469000.00,             8631
111       ,KPITTECH  ,     2067873773.00,             4321
112       ,LAURUSLABS,     2096187040.00,             2458
113       ,LICHSGFIN ,     1478633350.00,             2786
114       ,LICI      ,     1957654440.00,             3259
115       ,LODHA     ,      840884670.00,             1724
116       ,LT        ,     6166986403.00,             8649
117       ,LTF       ,     2482519209.00,             1960
118       ,LTIM      ,     2505094650.00,             2679
119       ,LUPIN     ,     1641821325.00,             1844
120       ,M&M       ,     6928903340.00,             9545
121       ,MANAPPURAM,     1311012750.00,             1540
122       ,MANKIND   ,     1060261493.00,             2211
123       ,MARICO    ,     2119575420.00,             2371
124       ,MARUTI    ,     4877550950.00,             5937
125       ,MAXHEALTH ,     1301125875.00,             2289
126       ,MAZDOCK   ,     1790314745.00,             4148
127       ,MCX       ,     8980620000.00,             7056
128       ,MFSL      ,     1414479560.00,             2090
129       ,MOTHERSON ,     1596732741.00,             2158
130       ,MPHASIS   ,     1989883693.00,             2526
131       ,MUTHOOTFIN,     3180227518.00,             3010
132       ,NATIONALUM,     4059168750.00,             3922
133       ,NAUKRI    ,     1079446163.00,             2123
134       ,NBCC      ,     2178551245.00,             2968
135       ,NCC       ,      595262142.00,             1389
136       ,NESTLEIND ,     2433598350.00,             3887
137       ,NHPC      ,      590599872.00,             1208
138       ,NMDC      ,     2377036125.00,             4547
139       ,NTPC      ,     2324496375.00,             4814
140       ,NUVAMA    ,      567824000.00,             1002
141       ,NYKAA     ,     1675748594.00,             2162
142       ,OBEROIRLTY,      913717700.00,             1598
143       ,OFSS      ,     1702170188.00,             2882
144       ,OIL       ,      386842960.00,              687
145       ,ONGC      ,     2374685888.00,             4521
146       ,PAGEIND   ,      762744675.00,             1390
147       ,PATANJALI ,     3954353040.00,             8201
148       ,PAYTM     ,     4261858923.00,             4549
149       ,PERSISTENT,     2390334650.00,             3819
150       ,PETRONET  ,      869296785.00,             1789
151       ,PFC       ,     2302024920.00,             5233
152       ,PGEL      ,     1549219178.00,             3787
153       ,PHOENIXLTD,      848156610.00,             1358
154       ,PIDILITIND,     1069398250.00,             1443
155       ,PIIND     ,     1351838968.00,             2370
156       ,PNB       ,     3813131760.00,             4036
157       ,PNBHOUSING,     1472637238.00,             2471
158       ,POLICYBZR ,     7849431135.00,            12146
159       ,POLYCAB   ,     2784471500.00,             3030
160       ,POWERGRID ,     2279506760.00,             4568
161       ,POWERINDIA,      824291500.00,              851
162       ,PPLPHARMA ,     1065617118.00,             2473
163       ,PRESTIGE  ,      901630305.00,             1229
164       ,RBLBANK   ,     3699032639.00,             3865
165       ,RECLTD    ,     3612900676.00,             8196
166       ,RELIANCE  ,    16079086050.00,            20760
167       ,RVNL      ,     1115428445.00,             2557
168       ,SAIL      ,     3174207604.00,             5199
169       ,SAMMAANCAP,     2610795740.00,             4090
170       ,SBICARD   ,     2309509440.00,             3380
171       ,SBILIFE   ,     2585161313.00,             3372
172       ,SBIN      ,    11597900063.00,            16000
173       ,SHREECEM  ,     1839649000.00,             2797
174       ,SHRIRAMFIN,     5563415385.00,             7911
175       ,SIEMENS   ,     1448429113.00,             3563
176       ,SOLARINDS ,     1983219175.00,             2363
177       ,SONACOMS  ,      500490051.00,              965
178       ,SRF       ,     2088259820.00,             3452
179       ,SUNPHARMA ,     2125866470.00,             3388
180       ,SUPREMEIND,     4866344263.00,             8202
181       ,SUZLON    ,     1526081351.00,             3478
182       ,SYNGENE   ,      644673700.00,              987
183       ,TATACONSUM,     3471479825.00,             5372
184       ,TATAELXSI ,      970260650.00,             1930
185       ,TATAPOWER ,     2242375918.00,             4056
186       ,TATASTEEL ,     7745235575.00,             8239
187       ,TATATECH  ,      961741240.00,             1842
188       ,TCS       ,     6048755440.00,            10757
189       ,TECHM     ,     3598724100.00,             3798
190       ,TIINDIA   ,      498928120.00,              946
191       ,TITAGARH  ,      688723828.00,             1199
192       ,TITAN     ,     9004567093.00,            13126
193       ,TMPV      ,     3854886960.00,            13881
194       ,TORNTPHARM,      917038375.00,              971
195       ,TORNTPOWER,     1426403293.00,             2893
196       ,TRENT     ,     3043282130.00,             7377
197       ,TVSMOTOR  ,     1359327218.00,             2138
198       ,ULTRACEMCO,     2700448050.00,             4642
199       ,UNIONBANK ,     1409005535.00,             2079
200       ,UNITDSPR  ,     1255762320.00,             2162
201       ,UNOMINDA  ,     3989146920.00,             5799
202       ,UPL       ,     3082405016.00,             3006
203       ,VBL       ,     3197033410.00,             6406
204       ,VEDL      ,    42375932665.00,            65652
205       ,VOLTAS    ,     2677791488.00,             5159
206       ,WIPRO     ,     3074362020.00,             3939
207       ,YESBANK   ,     2208088182.00,             3287
208       ,ZYDUSLIFE ,     1184243670.00,             1425
