The top 10 futures contracts on individual securities traded are as under:                          
S No      ,Symbol    ,Exp Date  ,Traded Value (Rs.)  ,No of Contracts  
1         ,VEDL      ,30/12/2025,    37596161905.00,            58278
2         ,HDFCBANK  ,30/12/2025,    20720823695.00,            37722
3         ,AXISBANK  ,30/12/2025,    26392451563.00,            34054
4         ,ETERNAL   ,30/12/2025,    15904241371.00,            22795
5         ,INFY      ,30/12/2025,    12915379320.00,            20223
6         ,RELIANCE  ,30/12/2025,    14157444850.00,            18293
7         ,SBIN      ,30/12/2025,     9529989000.00,            13162
8         ,HDFCBANK  ,27/01/2026,     7072271690.00,            12797
9         ,ICICIBANK ,30/12/2025,    11833599680.00,            12361
10        ,INDIGO    ,30/12/2025,     8501702775.00,            11361
The top ten contracts contributed to around  22% of the total traded volume in Futures on individual securities.VEDL was the most active future contracts on individual securities traded today with 65652 contracts and HDFCBANK was the next most active futures contracts with 50594 contracts being traded.                                                                                                                                                                                                     
