"Volume and Turnover data of top 10 Clearing Members (no. of contracts) in Equity Derivatives as on Dec 17, 2025 (Amounts in Rs. Crore)",,,,,,,,,,
Serial Number,Indx Futures Vol(Contracts),Index Futures Trnvr(Crores),Stock Futures Vol(Contracts),Stock Futures Trnvr(Crores),Index Options Vol(Contracts),Index Options Trnvr(Crores),Indx Opt Trnvr(prm)(Crores),Stock Options Vol(Contracts),Stock Options Trnvr(Crores),Stock Opt Trnvr(prm)(Crores)
1,956,162.63,17,1.27,108472523,18395775.21,25384.31,24,1.59,0.01
2,8009,1570.03,127266,8846.10,47133383,8283861.75,14246.64,2254969,163196.46,1832.20
3,20026,3834.84,83126,5676.37,30037244,5341056.73,13723.69,795759,57042.53,716.86
4,1534,291.74,8213,555.07,23464731,4147773.47,8956.85,475594,33756.00,400.94
5,5127,975.74,27418,1900.10,19705018,3494750.36,8108.54,465745,33580.77,422.17
6,48,9.30,376,26.68,12083863,2175609.74,6722.74,967393,67459.61,845.54
7,5943,1162.88,96185,6354.13,10949605,1956359.20,2908.39,373457,25821.25,357.86
8,15789,3094.81,62091,4222.87,8435787,1486030.30,2250.03,206304,13901.83,181.86
9,1766,335.16,3847,267.41,8313758,1463124.12,3735.07,100048,7239.61,97.35
10,244,48.72,10925,745.94,6715240,1224079.74,3360.80,14425,986.95,16.22
TOTAL,59442,11485.84,419464,28595.93,275311152,47968420.62,89397.04,5653718,402986.59,4870.99
Note: Turnover = traded quantity * (strike price + premium),,,,,,,,,,
Turnover in terms of premium = traded quantity * premium,,,,,,,,,,
