INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,BANKNIFTY ,30/12/2025,00059280.00,00059355.00,00059025.00,00059146.80,000000001844640,    38117268567.00,           644385,            18411,            12347
FUTIDX    ,BANKNIFTY ,27/01/2026,00059640.00,00059699.60,00059393.00,00059496.20,000000000206010,     5360862354.00,            90120,             3004,             2290
FUTIDX    ,BANKNIFTY ,24/02/2026,00059922.40,00060040.00,00059771.60,00059864.00,000000000045810,     1000345278.00,            16710,              557,              410
FUTIDX    ,FINNIFTY  ,30/12/2025,00027580.00,00027580.00,00027300.00,00027375.70,000000000039650,      665622958.00,            24310,              374,              262
FUTIDX    ,FINNIFTY  ,27/01/2026,00027809.80,00027809.80,00027500.00,00027554.00,000000000004080,       85883646.00,             3120,              052,              020
FUTSTK    ,360ONE    ,30/12/2025,00001136.00,00001154.50,00001123.80,00001130.10,000000001807000,     2931918250.00,          2567000,             5134,             4284
FUTSTK    ,360ONE    ,27/01/2026,00001142.70,00001154.50,00001125.00,00001130.60,000000000116500,      583778050.00,           510500,             1021,              951
FUTSTK    ,360ONE    ,24/02/2026,00001142.00,00001142.00,00001142.00,00001142.00,000000000004500,         571000.00,              500,              001,              001
FUTSTK    ,ABB       ,30/12/2025,00005274.00,00005278.00,00005170.00,00005190.00,000000002221000,     1239495250.00,           237750,             1902,             1445
FUTSTK    ,ABB       ,27/01/2026,00005260.00,00005282.50,00005183.00,00005198.00,000000000261625,      478831312.50,            91625,              733,              416
FUTSTK    ,ABB       ,24/02/2026,00005275.50,00005302.00,00005206.50,00005228.50,000000000022625,       22312000.00,             4250,              034,              033
FUTSTK    ,ABCAPITAL ,30/12/2025,00000349.10,00000354.25,00000345.50,00000347.70,000000072180400,     2622619375.00,          7502000,             2420,             2168
FUTSTK    ,ABCAPITAL ,27/01/2026,00000350.00,00000356.20,00000347.85,00000349.70,000000002610200,      290548585.00,           827700,              267,              233
FUTSTK    ,ABCAPITAL ,24/02/2026,00000357.10,00000358.00,00000350.00,00000351.55,000000000437100,       35020700.00,            99200,              032,              029
FUTSTK    ,ADANIENSOL,30/12/2025,00000998.80,00000998.80,00000978.30,00000981.30,000000017828100,     1068165461.25,          1082700,             1604,             1220
FUTSTK    ,ADANIENSOL,27/01/2026,00000998.60,00001000.70,00000985.00,00000986.90,000000000334800,      208134427.50,           209925,              311,              139
FUTSTK    ,ADANIENSOL,24/02/2026,00000996.15,00000996.50,00000994.70,00000994.70,000000000072900,        2016461.25,             2025,              003,              003
FUTSTK    ,ADANIENT  ,30/12/2025,00002265.00,00002265.00,00002229.60,00002241.80,000000019985811,     3585579205.80,          1597839,             5171,             4008
FUTSTK    ,ADANIENT  ,27/01/2026,00002268.10,00002272.80,00002239.00,00002250.90,000000002207805,      521370230.70,           231441,              749,              647
FUTSTK    ,ADANIENT  ,24/02/2026,00002266.00,00002277.00,00002245.00,00002258.20,000000000429201,      130523361.30,            57783,              187,              170
FUTSTK    ,ADANIGREEN,30/12/2025,00001036.00,00001037.10,00001020.00,00001023.60,000000024342000,     1718217300.00,          1674000,             2790,             2252
FUTSTK    ,ADANIGREEN,27/01/2026,00001031.50,00001043.80,00001026.70,00001029.90,000000001074600,      210723840.00,           204000,              340,              321
FUTSTK    ,ADANIGREEN,24/02/2026,00001039.00,00001045.50,00001033.40,00001036.50,000000000216600,       20549820.00,            19800,              033,              033
FUTSTK    ,ADANIPORTS,30/12/2025,00001504.90,00001505.20,00001484.40,00001491.80,000000021549325,     1858913972.50,          1244025,             2619,             2063
FUTSTK    ,ADANIPORTS,27/01/2026,00001514.50,00001514.50,00001493.10,00001500.10,000000002043925,      567884017.50,           378100,              796,              644
FUTSTK    ,ADANIPORTS,24/02/2026,00001523.30,00001523.30,00001504.80,00001509.80,000000000264100,       40899020.00,            27075,              057,              053
FUTSTK    ,ALKEM     ,30/12/2025,00005689.00,00005711.00,00005595.00,00005635.50,000000001579750,      944678000.00,           167375,             1339,             1030
FUTSTK    ,ALKEM     ,27/01/2026,00005714.50,00005738.50,00005635.50,00005666.50,000000000057250,      326897125.00,            57750,              462,              212
FUTSTK    ,AMBER     ,30/12/2025,00006824.50,00006825.00,00006565.00,00006600.00,000000001005400,     1900265300.00,           285000,             2850,             2463
FUTSTK    ,AMBER     ,27/01/2026,00006685.00,00006734.50,00006493.50,00006528.50,000000000161300,      326173400.00,            49500,              495,              413
FUTSTK    ,AMBER     ,24/02/2026,00006670.00,00006670.00,00006450.00,00006460.50,000000000009000,       10424500.00,             1600,              016,              016
FUTSTK    ,AMBUJACEM ,30/12/2025,00000545.45,00000551.00,00000539.90,00000541.90,000000046390050,     1048309027.50,          1925700,             1834,             1565
FUTSTK    ,AMBUJACEM ,27/01/2026,00000552.45,00000553.60,00000543.15,00000544.85,000000001524600,      210385875.00,           384300,              366,              293
FUTSTK    ,AMBUJACEM ,24/02/2026,00000554.95,00000554.95,00000548.00,00000548.00,000000000192150,        8701560.00,            15750,              015,              014
FUTSTK    ,ANGELONE  ,30/12/2025,00002514.70,00002525.00,00002466.60,00002478.90,000000003644750,     1613709100.00,           649000,             2596,             2163
FUTSTK    ,ANGELONE  ,27/01/2026,00002481.00,00002481.00,00002426.60,00002437.80,000000000534000,      664445850.00,           271750,             1087,              767
FUTSTK    ,ANGELONE  ,24/02/2026,00002448.00,00002454.00,00002415.00,00002428.00,000000000042750,       26225775.00,            10750,              043,              041
FUTSTK    ,APLAPOLLO ,30/12/2025,00001731.10,00001782.00,00001726.50,00001769.50,000000007560000,     1916051620.00,          1087800,             3108,             2536
FUTSTK    ,APLAPOLLO ,27/01/2026,00001746.80,00001791.80,00001735.10,00001778.50,000000000255150,      354369610.00,           200900,              574,              524
FUTSTK    ,APLAPOLLO ,24/02/2026,00001748.00,00001797.00,00001748.00,00001791.00,000000000042000,        6841625.00,             3850,              011,              011
FUTSTK    ,APOLLOHOSP,30/12/2025,00007081.00,00007095.00,00006919.00,00006927.50,000000003238625,     3014137750.00,           432375,             3459,             2840
FUTSTK    ,APOLLOHOSP,27/01/2026,00007124.50,00007136.00,00006965.50,00006971.00,000000000229375,      620039250.00,            88375,              707,              493
FUTSTK    ,APOLLOHOSP,24/02/2026,00007097.00,00007098.00,00007000.00,00007003.50,000000000016625,       48406812.50,             6875,              055,              052
FUTSTK    ,ASHOKLEY  ,30/12/2025,00000166.03,00000166.50,00000164.75,00000166.15,000000140945000,     2805878300.00,         16930000,             3386,             2915
