INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,30/12/2025,00043500.00,PE      ,00000002.55,00000003.85,00000002.55,00000003.10,000000000019540,             8890,              254,              070,      386741691.00,          26691.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00046500.00,PE      ,00000003.85,00000003.95,00000003.35,00000003.65,000000000021665,             3290,              094,              046,      152997129.25,          12129.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00047500.00,PE      ,00000005.00,00000005.00,00000003.50,00000003.75,000000000021175,             9240,              264,              135,      438934226.50,          34226.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00048500.00,PE      ,00000003.60,00000003.80,00000003.40,00000003.70,000000000010045,             2205,              063,              028,      106950368.00,           7868.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00049500.00,PE      ,00000004.95,00000004.95,00000003.55,00000003.80,000000000006055,             3640,              104,              056,      180193681.50,          13681.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00049700.00,PE      ,00000004.25,00000008.40,00000003.20,00000005.75,000000000003605,             7630,              218,              075,      379246568.75,          35568.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00049900.00,PE      ,00000004.45,00000004.45,00000003.60,00000003.70,000000000002030,              630,              018,              009,       31439555.00,           2555.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00050300.00,PE      ,00000003.60,00000004.55,00000003.60,00000004.35,000000000000910,              175,              005,              005,        8803214.00,            714.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00050500.00,CE      ,00008560.05,00008560.05,00008560.00,00008560.00,000000000000490,              070,              002,              002,        4134201.75,         599201.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00050500.00,PE      ,00000003.85,00000004.10,00000003.60,00000004.00,000000000014420,             9800,              280,              091,      494938328.50,          38328.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00050700.00,PE      ,00000008.90,00000008.90,00000003.15,00000004.95,000000000000420,             1225,              035,              017,       62113119.25,           5619.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00051100.00,PE      ,00000005.35,00000005.35,00000004.25,00000004.70,000000000000770,             3745,              107,              030,      191386294.75,          16794.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00051300.00,PE      ,00000004.40,00000005.00,00000004.10,00000004.80,000000000001050,              280,              008,              007,       14365275.75,           1275.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00051500.00,PE      ,00000005.25,00000005.95,00000004.10,00000005.05,000000000017395,            12495,              357,              139,      643553351.00,          60851.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00051900.00,PE      ,00000009.40,00000009.40,00000004.85,00000004.85,000000000000525,              840,              024,              011,       43600621.75,           4621.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00052100.00,PE      ,00000006.35,00000006.35,00000004.35,00000005.40,000000000001540,              315,              009,              007,       16413204.50,           1704.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00052300.00,PE      ,00000005.55,00000006.00,00000005.55,00000005.80,000000000001435,              735,              021,              007,       38444707.00,           4207.00
