Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          1271023,         44289550,         263832.14,000000017252280
BANKNIFTY ,          1511937,         52700355,         313845.59,000000022391745
FINNIFTY  ,             6380,           414700,           1147.27,000000000174915
FINNIFTY  ,            12808,           832520,           2306.63,000000000182195
FINNIFTY  ,             5529,           359385,            993.98,000000000160160
FINNIFTY  ,             4549,           295655,            815.22,000000000209405
FINNIFTY  ,             5536,           359810,            995.64,000000000362270
FINNIFTY  ,             4869,           316485,            868.23,000000000128245
FINNIFTY  ,             5994,           389610,           1081.95,000000000244140
MIDCPNIFTY,            15262,          2136680,           2961.82,000000000540400
MIDCPNIFTY,            42411,          5936360,           8242.02,000000001743640
MIDCPNIFTY,            16941,          2371520,           3296.96,000000000507460
MIDCPNIFTY,           234320,         32777080,          45598.67,000000016875680
NIFTYNXT50,              219,             5475,             38.05,000000000007575
NIFTYNXT50,              150,             3750,             25.63,000000000006650
NIFTYNXT50,              275,             6875,             47.47,000000000002575
NIFTY     ,          8396981,        629256435,        1636013.87,000000060529560
NIFTY     ,          5757071,        431101245,        1122959.97,000000070284485
NIFTY     ,          6208372,        464925050,        1212331.24,000000068595885
NIFTY     ,          5229160,        391533580,        1015396.68,000000055526725
NIFTY     ,          5545447,        415248945,        1078449.60,000000061343050
NIFTY     ,          8588533,        643325895,        1671215.62,000000060312385
NIFTY     ,          7469214,        559483620,        1452878.02,000000058507230
NIFTYNXT50,              207,             5175,             34.97,000000000009575
