Options on individual securities                                                                    
S No      ,Symbol    ,No of Cont       ,Notional Value (Rs.)     
1         ,360ONE    ,            30814,    18061877625.00
2         ,ABB       ,             8809,     5895203419.00
3         ,ABCAPITAL ,            14906,    16548956455.00
4         ,ADANIENT  ,            39517,    28265324957.00
5         ,ADANIENSOL,             8989,     6151942136.00
6         ,ADANIGREEN,            24603,    15719553870.00
7         ,ADANIPORTS,            21679,    15786202179.00
8         ,ALKEM     ,             3420,     2437638950.00
9         ,AMBER     ,            29748,    20267732395.00
10        ,AMBUJACEM ,             7431,     4338049223.00
11        ,ANGELONE  ,            21840,    14419110013.00
12        ,APLAPOLLO ,            22534,    14129828545.00
13        ,APOLLOHOSP,            36397,    32573120750.00
14        ,ASHOKLEY  ,            20342,    17011359400.00
15        ,ASIANPAINT,            36000,    25643499963.00
16        ,ASTRAL    ,            17397,    10897778685.00
17        ,AUBANK    ,            26951,    27146050550.00
18        ,AUROPHARMA,             7817,     5208589815.00
19        ,AXISBANK  ,           144940,   112802968625.00
20        ,BAJAJ-AUTO,            48570,    33222075589.00
21        ,BAJAJFINSV,            28617,    14827246025.00
22        ,BAJFINANCE,            50700,    39185095575.00
23        ,BANDHANBNK,              546,      312370884.00
24        ,BANKBARODA,            35190,    30081336480.00
25        ,BANKINDIA ,             8824,     6636305572.00
26        ,BDL       ,            49582,    22695944399.00
27        ,BEL       ,            63963,    36818628450.00
28        ,BHARATFORG,            10574,     7586097525.00
29        ,BHARTIARTL,            69868,    70727941394.00
30        ,BHEL      ,            20086,    15234765394.00
31        ,BIOCON    ,             9864,     9873083500.00
32        ,BLUESTARCO,             3896,     2359079418.00
33        ,BOSCHLTD  ,             6462,     6175649099.00
34        ,BPCL      ,            31103,    23124914464.00
35        ,BRITANNIA ,            21362,    16517392656.00
36        ,BSE       ,           102568,   105048703950.00
37        ,CAMS      ,             7863,     4506588300.00
38        ,CANBK     ,            50463,    51813601223.00
39        ,CDSL      ,            23925,    17791188341.00
40        ,CGPOWER   ,            51722,    30886544903.00
41        ,CHOLAFIN  ,            34043,    36855239219.00
42        ,CIPLA     ,            13131,     7519238494.00
43        ,COALINDIA ,            13956,     7310070383.00
