The top 20 option contracts on individual securities traded are as under:                           
S No      ,Symbol    ,Exp Date  ,Str Price  ,Opt Type  ,No of Cont       ,Notional Value (Rs.)     
1         ,SBIN      ,30/12/2025,00000980.00,CE      ,            28313,    21014691188.00
2         ,HINDZINC  ,30/12/2025,00000600.00,CE      ,            23946,    17867120696.00
3         ,VEDL      ,30/12/2025,00000580.00,CE      ,            23776,    16111267240.00
4         ,DIXON     ,30/12/2025,00014000.00,CE      ,            23340,    16462755988.00
5         ,DIXON     ,30/12/2025,00012500.00,PE      ,            23004,    14473139513.00
6         ,DIXON     ,30/12/2025,00013000.00,PE      ,            22866,    15060126548.00
7         ,HINDZINC  ,30/12/2025,00000580.00,CE      ,            22210,    16239262848.00
8         ,VEDL      ,30/12/2025,00000600.00,CE      ,            22178,    15404632605.00
9         ,HINDZINC  ,30/12/2025,00000590.00,CE      ,            21237,    15682732240.00
10        ,VEDL      ,30/12/2025,00000570.00,CE      ,            21048,    14112934723.00
11        ,HDFCBANK  ,30/12/2025,00001000.00,CE      ,            19357,    10721651655.00
12        ,DIXON     ,30/12/2025,00013500.00,CE      ,            19262,    13250301960.00
13        ,SHRIRAMFIN,30/12/2025,00000870.00,CE      ,            18984,    13931351486.00
14        ,SBIN      ,30/12/2025,00001000.00,CE      ,            17809,    13408279425.00
15        ,SHRIRAMFIN,30/12/2025,00000880.00,CE      ,            17295,    12773058045.00
16        ,DIXON     ,30/12/2025,00013500.00,PE      ,            17032,    11798212608.00
17        ,TMPV      ,30/12/2025,00000350.00,CE      ,            16918,     4804570840.00
18        ,AXISBANK  ,30/12/2025,00001240.00,CE      ,            16643,    13025846750.00
19        ,HDFCBANK  ,30/12/2025,00000990.00,CE      ,            16547,     9111199598.00
20        ,SBIN      ,30/12/2025,00000970.00,CE      ,            16484,    12167375513.00
The top twenty contracts contributed to around   6% of the total traded volume in Options on individual securities.DIXON was the most active option contracts on individual securities traded today with 237760 contracts and HINDZINC was the next most active options contracts with 231548 contracts being traded.                                                                                                                                                                                              
