Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
18-Dec-25,360ONE,1143.2,1126.1,  0.01507101,  0.02272607,  0.02269413,  0.43357066,1144.4,1130.1,  0.01257436,  0.02267672,  0.02263735,  0.43248588,  0.02269413,  0.43357066
18-Dec-25,ABB,5097.25,5170.9, -0.01434558,  0.01802945,  0.01801288,  0.34413550,5116.5,5190, -0.01426309,  0.01796059,  0.01794392,  0.34281812,  0.01801288,  0.34413550
18-Dec-25,ABCAPITAL,344.25,346.8, -0.00738011,  0.02032337,  0.02027923,  0.38743413,345.5,347.7, -0.00634740,  0.02038889,  0.02034288,  0.38865024,  0.02034288,  0.38865024
18-Dec-25,ADANIENSOL,976.3,977.55, -0.00127953,  0.02714347,  0.02707571,  0.51728081,977.65,981.3, -0.00372649,  0.02714444,  0.02707776,  0.51731997,  0.02707776,  0.51731997
18-Dec-25,ADANIENT,2229.25,2232.5, -0.00145683,  0.02408301,  0.02402292,  0.45895723,2236.5,2241.8, -0.00236697,  0.02443574,  0.02437524,  0.46568836,  0.02437524,  0.46568836
18-Dec-25,ADANIGREEN,1011,1020.75, -0.00959771,  0.02888052,  0.02881614,  0.55053167,1013.9,1023.6, -0.00952154,  0.02918351,  0.02911829,  0.55630418,  0.02911829,  0.55630418
18-Dec-25,ADANIPORTS,1495.25,1486.3,  0.00600361,  0.01889655,  0.01885404,  0.36020592,1499.4,1491.8,  0.00508158,  0.01889639,  0.01885242,  0.36017499,  0.01885404,  0.36020592
18-Dec-25,ALKEM,5520.95,5628.5, -0.01929303,  0.01360672,  0.01364095,  0.26060991,5533,5635.5, -0.01835571,  0.01362245,  0.01365016,  0.26078590,  0.01365016,  0.26078590
18-Dec-25,AMBER,6585.5,6580.5,  0.00075953,  0.02742289,  0.02735421,  0.52260146,6595,6600, -0.00075786,  0.02764283,  0.02757376,  0.52679594,  0.02757376,  0.52679594
18-Dec-25,AMBUJACEM,535.8,541.3, -0.01021270,  0.01647158,  0.01644612,  0.31420273,537.45,541.9, -0.00824575,  0.01662486,  0.01659361,  0.31702054,  0.01659361,  0.31702054
18-Dec-25,ANGELONE,2479.1,2504.6, -0.01023345,  0.02747176,  0.02741259,  0.52371681,2476.8,2478.9, -0.00084751,  0.02768276,  0.02761344,  0.52755399,  0.02761344,  0.52755399
18-Dec-25,APLAPOLLO,1795.7,1764.5,  0.01752755,  0.01688044,  0.01688376,  0.32256377,1800.8,1769.5,  0.01753399,  0.01687351,  0.01687701,  0.32243490,  0.01688376,  0.32256377
18-Dec-25,APOLLOHOSP,6918.5,6921.45, -0.00042630,  0.01306802,  0.01303522,  0.24903760,6933.5,6927.5,  0.00086574,  0.01278827,  0.01275641,  0.24371091,  0.01303522,  0.24903760
18-Dec-25,ASHOKLEY,171.55,166.15,  0.03198377,  0.01837105,  0.01846422,  0.35275837,170.12,166.15,  0.02361308,  0.01760693,  0.01764194,  0.33704870,  0.01846422,  0.35275837
