Date, ISIN, Scrip Name, NSE Symbol, MWPL, NCL Open Interest ,NCL FutEq OI
18-DEC-2025,INE457L01029,PG ELECTROPLAST LTD,PGEL,23897684,23789300,7772143.62604
18-DEC-2025,INE733E01010,NTPC LTD,NTPC,572782298,149392500,91431415.497585
18-DEC-2025,INE205A01025,VEDANTA LIMITED,VEDL,255091106,209067700,104305562.826284
18-DEC-2025,INE053A01029,THE INDIAN HOTELS CO. LTD,INDHOTEL,111956321,43569000,26547801.5462
18-DEC-2025,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,409181558,304845000,144887457.79355
18-DEC-2025,INE066A01021,EICHER MOTORS LTD,EICHERMOT,20353850,7618525,3342108.06441375
18-DEC-2025,INE010B01027,ZYDUS LIFESCIENCES LTD,ZYDUSLIFE,32617803,18704700,10463463.053424
18-DEC-2025,INE584A01023,NMDC LTD.,NMDC,517037525,511029000,287183502.711585
18-DEC-2025,INE615H01020,TITAGARH RAIL SYSTEMS LTD,TITAGARH,12028036,10859050,5055981.264892
18-DEC-2025,INE522F01014,COAL INDIA LTD,COALINDIA,227199238,92758500,53590582.347291
18-DEC-2025,INE211B01039,THE PHOENIX MILLS LTD,PHOENIXLTD,28283155,5316150,2916439.8545065
18-DEC-2025,INE07Y701011,HITACHI ENERGY INDIA LTD,POWERINDIA,1917916,1116350,312882.545908
18-DEC-2025,INE018E01016,SBI CARDS & PAY SER LTD,SBICARD,39583537,26146400,15052543.48092
18-DEC-2025,INE180A01020,MAX FINANCIAL SERV LTD,MFSL,34712157,10753200,7984425.773508
18-DEC-2025,INE761H01022,PAGE INDUSTRIES LTD,PAGEIND,955549,453000,250567.7517024
18-DEC-2025,INE195A01028,SUPREME INDUSTRIES LTD,SUPREMEIND,7242074,4267200,1996817.1951875
18-DEC-2025,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,13082978,4759125,2809119.64037125
18-DEC-2025,INE752E01010,POWER GRID CORP. LTD.,POWERGRID,488832949,144094100,84180680.50344
