"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"16 Dec 2025","FUTCOM","ALUMINI      ","31DEC2025","-","0.00","280.85","281.70","279.00","280.45","280.40","1593","1593.000 KGS  ","4468.08","1015"
"16 Dec 2025","FUTCOM","ALUMINI      ","30JAN2026","-","0.00","282.60","284.95","280.05","283.35","283.55","470","470.000 KGS  ","1331.16","294"
"16 Dec 2025","FUTCOM","ALUMINI      ","27FEB2026","-","0.00","285.00","287.00","285.00","286.60","286.30","22","22.000 KGS  ","63.04","86"
"16 Dec 2025","FUTCOM","ALUMINI      ","31MAR2026","-","0.00","","","","289.80","289.80","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","FUTCOM","ALUMINI      ","30APR2026","-","0.00","","","","293.00","293.00","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","FUTCOM","ALUMINIUM    ","31DEC2025","-","0.00","279.20","281.80","278.00","280.20","280.10","1298","6490.000 KGS  ","18191.41","2749"
"16 Dec 2025","FUTCOM","ALUMINIUM    ","30JAN2026","-","0.00","282.05","284.40","281.70","283.05","283.00","402","2010.000 KGS  ","5693.05","1467"
"16 Dec 2025","FUTCOM","ALUMINIUM    ","27FEB2026","-","0.00","285.35","287.35","285.35","286.85","287.05","14","70.000 KGS  ","200.62","108"
"16 Dec 2025","FUTCOM","ALUMINIUM    ","31MAR2026","-","0.00","","","","288.80","288.80","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","FUTCOM","ALUMINIUM    ","30APR2026","-","0.00","","","","291.70","291.70","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","FUTCOM","CARDAMOM     ","31DEC2025","-","0.00","2650.00","2685.00","2646.00","2670.00","2649.00","21","2.100 KGS  ","55.85","42"
"16 Dec 2025","FUTCOM","CARDAMOM     ","30JAN2026","-","0.00","2650.00","2675.00","2650.00","2663.00","2620.00","2","0.200 KGS  ","5.33","5"
"16 Dec 2025","FUTCOM","CARDAMOM     ","27FEB2026","-","0.00","","","","2632.00","2632.00","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","FUTCOM","CARDAMOM     ","31MAR2026","-","0.00","","","","2632.00","2632.00","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","FUTCOM","CARDAMOM     ","30APR2026","-","0.00","","","","2632.00","2632.00","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","960.00","","","","149.51","149.51","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","955.00","","","","154.50","154.50","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","950.00","","","","159.50","159.50","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","1105.00","14.66","20.00","12.50","16.33","20.62","85","212.500 KGS  ","2383.10","23"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","945.00","","","","164.49","164.49","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","940.00","","","","169.48","169.48","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1110.00","21.25","22.98","14.84","17.28","17.12","368","920.000 KGS  ","10379.60","145"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","935.00","","","","174.48","174.48","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","930.00","","","","179.47","179.47","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","1100.00","17.56","23.28","14.46","18.23","21.80","787","1967.500 KGS  ","22019.31","314"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","925.00","","","","184.47","184.47","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","920.00","","","","189.46","189.46","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","915.00","","","","194.45","194.45","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","1000.00","108.00","108.95","106.00","107.24","106.55","4","10.000 KGS  ","110.72","59"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","1115.00","12.45","13.00","10.25","11.31","14.43","23","57.500 KGS  ","647.80","13"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","995.00","","","","114.55","114.55","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","990.00","","","","119.55","119.55","0","0.000 KGS  ","0.00","18"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1100.00","17.51","17.51","10.16","12.39","12.16","965","2412.500 KGS  ","26865.37","314"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","985.00","","","","124.54","124.54","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","980.00","","","","129.54","129.54","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","1110.00","11.25","17.83","10.58","13.75","17.07","937","2342.500 KGS  ","26337.72","274"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","975.00","","","","134.53","134.53","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","970.00","","","","139.52","139.52","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1105.00","17.89","17.90","12.37","14.20","13.91","33","82.500 KGS  ","924.61","6"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","CE","965.00","","","","144.52","144.52","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","875.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","880.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","885.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","890.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","895.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","905.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","910.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","915.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","920.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","925.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","930.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","935.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","945.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","955.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","965.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","975.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","985.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","970.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","900.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","1"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","940.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","1"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","995.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","1"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1015.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","1"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1005.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","4"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","960.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","8"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","950.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","9"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1025.00","","","","2.00","2.00","0","0.000 KGS  ","0.00","4"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1035.00","","","","0.40","0.40","0","0.000 KGS  ","0.00","5"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","980.00","0.25","0.25","0.25","0.25","0.14","4","10.000 KGS  ","98.03","48"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1055.00","","","","0.48","0.48","0","0.000 KGS  ","0.00","2"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1000.00","0.46","0.56","0.41","0.49","0.55","34","85.000 KGS  ","850.41","267"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1020.00","1.00","1.01","0.51","0.58","0.86","54","135.000 KGS  ","1378.17","122"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1010.00","0.74","0.74","0.55","0.63","0.74","22","55.000 KGS  ","555.86","96"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","990.00","1.20","1.20","0.45","0.74","0.58","8","20.000 KGS  ","198.15","59"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1065.00","","","","2.92","2.92","0","0.000 KGS  ","0.00","4"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1030.00","0.72","1.11","0.72","1.00","0.95","13","32.500 KGS  ","335.06","78"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1040.00","1.39","1.74","1.04","1.14","1.33","47","117.500 KGS  ","1223.52","132"
"16 Dec 2025","OPTFUT","COPPER       ","23DEC2025","PE","1050.00","2.20","2.50","1.69","1.75","1.81","176","440.000 KGS  ","4629.10","303"
