"Disclaimer - The Data provided in the adjusted 52 week high and adjusted 52 week low columns  are adjusted for corporate actions (bonus, splits & rights).For actual (unadjusted) 52 week high & low prices, kindly refer bhavcopy."
"Effective for 16-Dec-2025"
"SYMBOL","SERIES","Adjusted_52_Week_High","52_Week_High_Date","Adjusted_52_Week_Low","52_Week_Low_DT"
"20MICRONS","EQ","    283.93","23-JUL-2025","    158.20","12-FEB-2025"
"21STCENMGM","EQ","     94.75","06-JAN-2025","     36.03","27-NOV-2025"
"360ONE","EQ","   1318.00","06-JAN-2025","    790.50","07-APR-2025"
"3IINFOLTD","EQ","     32.91","02-JAN-2025","     15.60","09-DEC-2025"
"3MINDIA","EQ","  37000.00","06-NOV-2025","  25718.15","03-MAR-2025"
"3PLAND","EQ","     82.06","18-DEC-2024","     34.05","26-NOV-2025"
"5PAISA","EQ","    501.85","16-DEC-2024","    287.65","14-NOV-2025"
"63MOONS","EQ","   1130.00","17-JUL-2025","    591.25","18-FEB-2025"
"A2ZINFRA","EQ","     26.80","03-JAN-2025","     12.35","11-APR-2025"
"AAATECH","BE","    136.00","07-OCT-2025","     66.00","18-MAR-2025"
"AADHARHFC","EQ","    547.80","24-SEP-2025","    346.05","28-JAN-2025"
"AAKAAR","SM","    105.00","21-JUL-2025","     62.00","03-JUL-2025"
"AAKASH","EQ","     13.79","24-JUN-2025","      7.06","03-JUN-2025"
"AARADHYA","ST","    182.00","13-OCT-2025","     97.50","08-SEP-2025"
"AAREYDRUGS","EQ","    100.00","06-NOV-2025","     31.35","18-MAR-2025"
"AARON","EQ","    258.00","25-AUG-2025","    152.48","18-FEB-2025"
"AARTECH","EQ","    105.39","08-JAN-2025","     48.01","25-NOV-2025"
"AARTIDRUGS","EQ","    564.05","21-JUL-2025","    312.00","07-APR-2025"
"AARTIIND","EQ","    495.00","28-MAY-2025","    344.20","07-APR-2025"
"AARTIPHARM","EQ","    971.00","16-JUL-2025","    557.05","19-DEC-2024"
"AARTISURF","EQ","    674.50","16-DEC-2024","    385.50","09-DEC-2025"
"AARVI","EQ","    152.00","17-NOV-2025","     88.00","07-APR-2025"
"AATMAJ","SM","     27.00","17-DEC-2024","     14.50","28-MAR-2025"
"AAVAS","EQ","   2234.00","22-APR-2025","   1450.00","05-DEC-2025"
"ABAN","BE","     70.00","16-DEC-2024","     28.92","15-DEC-2025"
"ABB","EQ","   7960.00","17-DEC-2024","   4684.45","07-APR-2025"
"ABBOTINDIA","EQ","  37000.00","27-JUN-2025","  25325.00","29-JAN-2025"
"ABCAPITAL","EQ","    368.95","10-DEC-2025","    149.01","17-FEB-2025"
"ABCOTS","EQ","    505.50","01-FEB-2025","    370.10","01-SEP-2025"
"ABDL","EQ","    696.80","04-NOV-2025","    279.00","07-APR-2025"
"ABFRL","EQ","    303.15","16-DEC-2024","     70.55","13-JUN-2025"
"ABGSEC","EQ","    113.03","21-JUL-2025","    102.76","19-DEC-2024"
"ABGSECINAV","EQ","-","-","-","-"
"ABHAPOWER","SM","     60.90","18-DEC-2024","     26.45","27-MAR-2025"
"ABINFRA","EQ","     22.50","08-SEP-2025","      6.16","18-FEB-2025"
"ABLBL","EQ","    175.00","23-JUN-2025","    124.50","24-NOV-2025"
"ABMINTLLTD","EQ","     78.21","02-JUL-2025","     37.01","01-OCT-2025"
"ABREL","EQ","   2835.35","16-DEC-2024","   1562.60","06-OCT-2025"
"ABSLAMC","EQ","    908.00","20-AUG-2025","    556.45","07-APR-2025"
"ABSLBAINAV","EQ","-","-","-","-"
"ABSLBANETF","EQ","     62.22","10-DEC-2025","     47.55","18-MAR-2025"
"ABSLLIQUID","EQ","   1030.00","17-JAN-2025","    999.99","15-DEC-2025"
"ABSLLQINAV","EQ","-","-","-","-"
"ABSLNN50ET","EQ","     76.11","16-DEC-2024","     58.37","03-MAR-2025"
"ABSLNNINAV","EQ","-","-","-","-"
