MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABGSEC,BIRLASLAMC - ABGSEC,       110.66,       111.24,       111.24,       111.24,       111.24,                      222.48,2,2,       113.03,       102.76,ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,        60.70,        60.58,        60.62,        60.30,        60.32,                  2602527.10,43138,207,        62.22,        47.55,NIFTY BANK
N,EQ,ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,      1000.00,      1000.00,      1000.01,       999.99,       999.99,                160487963.45,160488,179,      1030.00,       999.99,ADITYA BIRLA SUN LIFE CRISIL OVERNIGHT FUND AI ETF
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,        71.92,        71.80,        71.84,        71.35,        71.45,                   817898.73,11423,178,        76.11,        58.37,NIFTY NEXT 50
N,EQ,ABSLPSE,BIRLASLAMC-ABSLPSE,         9.84,         9.88,         9.88,         9.72,         9.76,                  2579329.02,264558,709,        10.90,         8.00,ADITYA BIRLA SUN LIFE NIFTY PSE ETF
N,EQ,ALPHA,KOTAKMAMC - KOTAKALPHA,        48.33,        47.95,        48.59,        47.75,        47.91,                 41963939.68,874778,3503,        57.18,        39.00,NIFTY ALPHA 50 INDEX
N,EQ,ALPHAETF,MIRAEAMC - ALPHAETF,        25.18,        25.49,        25.49,        24.87,        24.92,                 10418163.75,417649,1734,        27.43,        19.61,MIRAE ASSET NIFTY 200 ALPHA 30 ETF
N,EQ,ALPL30IETF,ICICIPRAMC - ICICIALPLV,        27.96,        27.95,        28.02,        27.79,        27.80,                258058870.40,9263878,1358,        29.69,        24.00,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,AONEGOLD,AONEAMC - AONEGOLD,        12.50,        12.47,        12.54,        12.31,        12.36,                 20485563.63,1656496,2195,        13.50,        10.00,DOMESTIC PRICE OF GOLD
N,EQ,AONELIQUID,AONEAMC - AONELIQUID,      1038.53,      1038.68,      1038.68,      1038.66,      1038.67,                 28807762.06,27735,255,      1060.00,       908.58,NIFTY 1D RATE INDEX
N,EQ,AONENIFTY,AONEAMC - AONENIFTY,        10.65,        10.69,        10.70,        10.59,        10.60,                  2047544.15,192878,1392,        12.00,         9.47,NIFTY 50 INDEX
N,EQ,AONETMMQ50,AONEAMC - AONETMMQ50,         9.68,         9.72,         9.82,         9.63,         9.64,                   308811.29,31989,264,        10.50,         9.51,NIFTY TOTAL MARKET MOMENTUM QUALITY 50 TRI
