MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     26027.30,     25951.50,     25980.75,     25834.35,     25860.10,839845370909.89,3937481006,Y, ,28265852,     26325.80,     21743.65
Y, , ,NIFTY50 EQL Wgt,     32994.30,     32938.25,     32956.35,     32710.30,     32747.40,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 EQL Wgt,     33631.20,     33595.10,     33608.85,     33354.35,     33412.60,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 LowVol30,     21069.20,     21043.10,     21087.05,     20966.65,     20988.35,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY Alpha 50,     50327.20,     50273.20,     50275.65,     49791.60,     49901.80,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY MIDCAP 150,     22136.80,     22115.95,     22116.65,     21915.05,     21966.15,0.00,0,Y, ,0,     22495.40,     17269.50
Y, , ,NIFTY SMLCAP 50,      8515.70,      8499.05,      8500.55,      8435.35,      8449.60,0.00,0,Y, ,0,      9282.70,      6776.05
Y, , ,NIFTY SMLCAP 250,     16455.45,     16440.50,     16440.85,     16309.05,     16328.25,0.00,0,Y, ,0,     18166.40,     13314.70
Y, , ,NIFTY MIDSML 400,     20038.80,     20020.15,     20020.15,     19846.75,     19884.20,0.00,0,Y, ,0,     20668.15,     15832.85
Y, , ,NIFTY200 QUALTY30,     21270.95,     21250.85,     21264.25,     21122.90,     21166.85,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty FinSrv25 50,     30062.50,     29998.75,     30026.35,     29761.60,     29807.55,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY AlphaLowVol,     27119.70,     27104.40,     27127.30,     26946.25,     26984.10,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200Momentm30,     31375.85,     31358.85,     31371.80,     31097.30,     31155.35,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty100ESGSecLdr,      4338.20,      4326.75,      4331.70,      4310.85,      4315.95,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 ESG,      5163.00,      5153.00,      5157.40,      5118.80,      5125.20,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY M150 QLTY50,     24045.15,     24017.95,     24025.50,     23825.20,     23889.25,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY INDIA MFG,     15211.25,     15185.50,     15195.80,     15098.25,     15139.30,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200 Alpha 30,     25132.60,     25125.15,     25126.40,     24822.20,     24877.95,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NiftyM150Momntm50,     62174.05,     62156.05,     62156.50,     61414.25,     61583.40,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty50 USD,      9939.50,      9939.45,      9943.10,      9836.35,      9844.85,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty IT,     38386.25,     38262.30,     38293.40,     37946.75,     38062.50,0.00,0,Y, ,0,     45647.30,     30918.95
Y, , ,Nifty Next 50,     68622.45,     68602.10,     68613.00,     68069.00,     68337.20,0.00,0,Y, ,0,     70956.25,     56192.45
Y, , ,Nifty Bank,     59461.80,     59288.75,     59335.25,     58966.35,     59034.60,0.00,0,Y, ,0,     60114.30,     47702.90
Y, , ,NIFTY MIDCAP 100,     60212.80,     60155.20,     60157.20,     59565.90,     59710.80,0.00,0,Y, ,0,     61311.25,     46865.70
Y, , ,Nifty 500,     23725.20,     23676.80,     23687.35,     23542.55,     23570.15,0.00,0,Y, ,0,     24035.00,     19519.85
Y, , ,Nifty 100,     26555.35,     26489.25,     26509.30,     26365.50,     26394.50,0.00,0,Y, ,0,     26859.50,     22177.35
Y, , ,Nifty Midcap 50,     17262.70,     17251.80,     17253.10,     17071.75,     17114.50,0.00,0,Y, ,0,     17498.55,     13269.65
Y, , ,Nifty Realty,       886.15,       885.50,       885.50,       872.15,       874.75,0.00,0,Y, ,0,      1109.95,       765.80
Y, , ,Nifty Infra,      9549.35,      9528.85,      9550.60,      9493.80,      9508.90,0.00,0,Y, ,0,      9729.85,      7589.95
Y, , ,Nifty Energy,     35028.15,     34944.05,     34954.80,     34678.40,     34769.25,0.00,0,Y, ,0,     36938.90,     29313.20
Y, , ,Nifty FMCG,     54868.40,     54799.45,     55324.90,     54699.95,     54863.45,0.00,0,Y, ,0,     59302.55,     50199.35
Y, , ,Nifty MNC,     30271.40,     30255.15,     30373.65,     30157.55,     30293.95,0.00,0,Y, ,0,     30697.55,     23981.05
Y, , ,Nifty Pharma,     22719.40,     22700.75,     22712.20,     22558.35,     22591.50,0.00,0,Y, ,0,     23604.45,     19121.10
Y, , ,Nifty PSE,      9567.30,      9554.25,      9559.40,      9450.65,      9482.75,0.00,0,Y, ,0,     10225.55,      7956.45
Y, , ,Nifty PSU Bank,      8285.75,      8276.30,      8289.15,      8191.65,      8212.00,0.00,0,Y, ,0,      8665.70,      5530.35
Y, , ,Nifty Serv Sector,     33757.90,     33672.30,     33704.80,     33487.40,     33521.15,0.00,0,Y, ,0,     34216.65,     29070.85
Y, , ,Nifty Auto,     27568.10,     27500.30,     27605.30,     27447.80,     27542.20,0.00,0,Y, ,0,     28099.65,     19316.65
