SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
MEESHO LIMITED,       170.76,       180.29,172481762,              31790068119.44
SHAKTI PUMPS (I) LTD,       752.20,       780.45,27321531,              21375215939.45
HDFC BANK LTD,       996.10,       994.30,20049088,              19943698733.60
VEDANTA LIMITED,       549.40,       569.50,34011443,              19075145945.50
RELIANCE INDUSTRIES LTD,      1556.20,      1542.30,11731856,              18117538818.10
ICICI BANK LTD.,      1365.20,      1366.00,12359741,              16854916855.00
ETERNAL LIMITED,       298.45,       284.45,58633745,              16823564222.70
AXIS BANK LIMITED,      1284.80,      1219.60,11542048,              14226307916.20
BSE LIMITED,      2648.90,      2605.90,5246754,              13634814377.40
BHARTI AIRTEL LIMITED,      2069.70,      2102.00,5756692,              12075653201.70
INTERGLOBE AVIATION LTD,      4965.50,      4974.00,2389083,              11898951414.00
EPACK DURABLE LIMITED,       259.60,       300.80,35215554,              10397985387.10
SWIGGY LIMITED,       413.40,       396.25,24398408,               9803581949.95
KAYNES TECHNOLOGY IND LTD,      4197.50,      4186.50,2330821,               9757401145.00
LARSEN & TOUBRO LTD.,      4092.30,      4063.80,2199214,               8936379899.40
INFOSYS LIMITED,      1606.80,      1592.90,5499258,               8753533458.70
NIPPONAMC - NETFSILVER,       184.87,       184.69,45316096,               8334115618.19
VODAFONE IDEA LIMITED,        11.35,        11.25,712832049,               8047222681.43
REFEX INDUSTRIES LIMITED,       299.40,       305.70,24590389,               7590888799.05
PRAJ INDUSTRIES LTD,       334.35,       345.20,21100301,               7353920745.10
TATA TELESERV(MAHARASTRA),        48.69,        51.36,133468601,               7094685233.37
TITAN COMPANY LIMITED,      3866.20,      3929.50,1560827,               6094705839.20
KIRLOSKAR OIL ENG LTD,      1136.10,      1227.10,4788476,               5809830057.00
TATA CONSULTANCY SERV LT,      3230.20,      3205.10,1734623,               5558913487.80
PB FINTECH LIMITED,      1926.40,      1820.50,3020390,               5538824778.30
