Confirmed list of securities to be auctioned in A 2025239 to be held on Dec 17 2025.

Sr No,Symbol,Series,Total Qty
1,21STCENMGM,EQ,1274
2,AAKAAR,SM,1600
3,ACEINTEG,EQ,20
4,ACUTAAS,EQ,100
5,AEQUS,EQ,29
6,AFCONS,EQ,7
7,AGARIND,EQ,25
8,AGIIL,EQ,250
9,AGRITECH,EQ,200
10,AMBER,EQ,1
11,AMBUJACEM,EQ,200
12,AMNPLST,EQ,404
13,AMRUTANJAN,EQ,6
14,ANUP,EQ,14
15,APLAPOLLO,EQ,1
16,APOLLO,EQ,1
17,APOLLOTYRE,EQ,1
18,ARKADE,EQ,2
19,ARTNIRMAN,EQ,65
20,ASAHISONG,EQ,1791
21,ASHOKLEY,EQ,2025
22,ASTEC,EQ,2
23,ATGL,EQ,35
24,ATLPP,E1,143
25,AUBANK,EQ,5
26,AURIGROW,EQ,7100
27,AVANTIFEED,EQ,14
28,AXISBANK,EQ,16
29,BAJAJINDEF,EQ,30
30,BDL,EQ,1
31,BHAGERIA,EQ,600
32,BHARATRAS,EQ,2
33,BIKAJI,EQ,100
34,BLBLIMITED,EQ,108
35,BLS,EQ,90
36,CEATLTD,EQ,2
37,CEWATER,EQ,5
38,CGPOWER,EQ,1
39,CHAMBLFERT,EQ,5
40,CLEAN,EQ,1
41,COALINDIA,EQ,2
42,CONCORDBIO,EQ,10
43,CUB,EQ,1
44,DABUR,EQ,56
45,DANISH,SM,150
46,DIVISLAB,EQ,7
47,DMART,EQ,3
48,EIFFL,EQ,1
49,ELLEN,EQ,34
50,EMBASSY,RR,5
51,EMSLIMITED,EQ,20
52,ENGINERSIN,EQ,1000
53,EPACK,EQ,20
54,ETERNAL,EQ,1
55,EUROPRATIK,EQ,1
56,EXICOM,EQ,1
57,FACT,EQ,5
58,FILATEX,EQ,11
59,FIRSTCRY,EQ,49
60,FMCGIETF,EQ,31216
61,GKENERGY,EQ,24
62,GMRAIRPORT,EQ,11
63,GNA,EQ,25
64,GOCLCORP,EQ,1
65,GVPIL,EQ,5
66,HCC,EQ,20546
67,HCLTECH,EQ,3
68,HDBFS,EQ,25
69,HDFCLIFE,EQ,5
70,HDFCMID150,EQ,37
71,HEADSUP,EQ,81
72,HERANBA,EQ,18
73,HINDCOPPER,EQ,1
74,HLVLTD,EQ,11
75,HMVL,EQ,25
76,IDEA,EQ,1
77,IDFCFIRSTB,EQ,2000
78,IDFNIFTYET,EQ,370
79,INDHOTEL,EQ,91
80,INDIANCARD,EQ,4
81,INDOBORAX,EQ,39
82,INFOBEAN,EQ,10
83,IOB,EQ,60
84,IONEXCHANG,EQ,35
85,IVP,EQ,64
86,JAMNAAUTO,EQ,150
87,JAYKAY,EQ,10
88,JKTYRE,EQ,15
89,JOCIL,EQ,72
90,JSWCEMENT,EQ,100
91,JUBLFOOD,EQ,100
92,KANORICHEM,EQ,5
93,KIRLOSENG,EQ,27033
94,KROSS,EQ,23
95,LGEINDIA,EQ,10
96,LINDEINDIA,EQ,15
97,LLOYDSENGG,EQ,1
98,LLOYDSENT,EQ,1000
99,LT,EQ,10
100,MAFANG,EQ,1
101,MAHAPEXLTD,EQ,30
102,MARUTI,EQ,2
103,MEESHO,EQ,762
104,MIDWESTLTD,EQ,44
105,MONOLITH,SM,1000
106,MUTHOOTFIN,EQ,110
107,NETWORK18,EQ,157
108,NIACL,EQ,2
109,NMDC,EQ,300
110,NTPCGREEN,EQ,432
111,NURECA,EQ,880
112,OLAELEC,EQ,2
113,ONEPOINT,EQ,1000
114,PCBL,EQ,1775
115,PILITA,EQ,12
116,POKARNA,EQ,50
117,PPAP,EQ,2
118,PPLPHARMA,EQ,50
119,PRITIKAUTO,EQ,10
120,PTL,EQ,1
121,REFEX,EQ,107
122,RELIANCE,EQ,52
123,RICOAUTO,EQ,414
124,RRKABEL,EQ,5
125,S&SPOWER,EQ,170
126,SAFARI,EQ,8
127,SAIL,EQ,3
128,SCI,EQ,50
129,SHAKTIPUMP,EQ,13
130,SHEKHAWATI,EQ,461
131,SILVERBEES,EQ,560
132,SOBHA,EQ,1
133,SOLEX,EQ,50
134,SOUTHBANK,EQ,1000
135,SRF,EQ,5
136,STEELCAS,EQ,25
137,SUPREMEIND,EQ,5
138,SUVIDHAA,EQ,9
139,SUZLON,EQ,140
140,SWANCORP,EQ,100
141,TAINWALCHM,EQ,2
142,TATACONSUM,EQ,13
143,TCIEXP,EQ,2
144,TCS,EQ,10
145,THOMASCOOK,EQ,13
146,TITAN,EQ,5
147,TMCV,EQ,18
148,TMPV,EQ,3000
149,TNTELE,EQ,4
150,TRANSRAILL,EQ,4
151,TREL,EQ,23
152,TTML,EQ,451
153,TVVISION,EQ,1342
154,ULTRACEMCO,EQ,3
155,VAIBHAVGBL,EQ,6
156,VEDL,EQ,1522
157,VIKASLIFE,EQ,3480
158,VINYLINDIA,EQ,1
159,VMART,EQ,19
160,WELSPUNLIV,EQ,75
161,WIPRO,EQ,200
162,YESBANK,EQ,379
