GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,SHRIRAM FINANCE LIMITED,       864.20,       848.40,1.86
G,STATE BANK OF INDIA,       975.85,       961.15,1.53
G,HINDALCO  INDUSTRIES  LTD,       848.80,       837.15,1.39
G,EICHER MOTORS LTD,      7134.50,      7061.50,1.03
G,TATA CONSUMER PRODUCT LTD,      1179.80,      1169.90,0.85
G,COAL INDIA LTD,       384.75,       381.60,0.83
G,WIPRO LTD,       261.14,       259.22,0.74
G,SUN PHARMACEUTICAL IND L,      1792.90,      1781.30,0.65
G,INFOSYS LIMITED,      1602.00,      1592.90,0.57
G,AXIS BANK LIMITED,      1224.70,      1219.60,0.42
G,TATA CONSULTANCY SERV LT,      3217.80,      3205.10,0.40
G,OIL AND NATURAL GAS CORP.,       232.91,       232.21,0.30
G,TATA STEEL LIMITED,       170.34,       169.83,0.30
G,POWER GRID CORP. LTD.,       261.10,       260.35,0.29
G,BHARTI AIRTEL LIMITED,      2108.00,      2102.00,0.29
G,MARUTI SUZUKI INDIA LTD.,     16398.00,     16354.00,0.27
G,GRASIM INDUSTRIES LTD,      2806.60,      2799.10,0.27
G,TATA MOTORS PASS VEH LTD,       346.35,       345.45,0.26
G,HCL TECHNOLOGIES LTD,      1655.00,      1651.70,0.20
G,RELIANCE INDUSTRIES LTD,      1544.40,      1542.30,0.14
G,INTERGLOBE AVIATION LTD,      4980.50,      4974.00,0.13
G,BAJAJ FINANCE LIMITED,       999.60,       998.40,0.12
G,ULTRATECH CEMENT LIMITED,     11540.00,     11528.00,0.10
G,NTPC LTD,       321.25,       321.00,0.08
G,TECH MAHINDRA LIMITED,      1579.40,      1578.20,0.08
 , , , , 
L,MAX HEALTHCARE INS LTD,      1031.10,      1073.00,-3.90
L,APOLLO HOSPITALS ENTER. L,      6921.50,      7051.50,-1.84
L,TRENT LTD,      4045.20,      4108.70,-1.55
L,HDFC LIFE INS CO LTD,       753.50,       764.35,-1.42
L,SBI LIFE INSURANCE CO LTD,      2010.20,      2036.00,-1.27
L,BAJAJ AUTO LIMITED,      8895.00,      9008.00,-1.25
L,HDFC BANK LTD,       984.00,       994.30,-1.04
L,ICICI BANK LTD.,      1352.40,      1366.00,-1.00
L,ADANI PORT & SEZ LTD,      1486.30,      1499.00,-0.85
L,JIO FIN SERVICES LTD,       293.15,       295.25,-0.71
L,BAJAJ FINSERV LTD.,      2021.20,      2035.20,-0.69
L,ADANI ENTERPRISES LIMITED,      2232.50,      2247.90,-0.69
L,BHARAT ELECTRONICS LTD,       385.60,       388.00,-0.62
L,TITAN COMPANY LIMITED,      3907.90,      3929.50,-0.55
L,NESTLE INDIA LIMITED,      1234.60,      1240.60,-0.48
L,ITC LTD,       399.80,       401.70,-0.47
L,KOTAK MAHINDRA BANK LTD,      2173.20,      2182.40,-0.42
L,DR. REDDY S LABORATORIES,      1272.00,      1276.90,-0.38
L,JSW STEEL LIMITED,      1079.30,      1082.60,-0.30
L,HINDUSTAN UNILEVER LTD.,      2275.60,      2281.10,-0.24
L,MAHINDRA & MAHINDRA LTD,      3612.80,      3621.00,-0.23
L,ASIAN PAINTS LIMITED,      2785.70,      2790.90,-0.19
L,CIPLA LTD,      1496.90,      1499.60,-0.18
L,LARSEN & TOUBRO LTD.,      4062.40,      4063.80,-0.03
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,CANARA BANK,       150.21,       147.17,2.07
G,PUNJAB NATIONAL BANK,       119.33,       117.03,1.97
G,HINDUSTAN ZINC LIMITED,       578.30,       567.70,1.87
G,BANK OF BARODA,       287.60,       282.85,1.68
G,HYUNDAI MOTOR INDIA LTD,      2286.40,      2268.70,0.78
G,LTIMINDTREE LIMITED,      6252.50,      6216.00,0.59
G,TVS MOTOR COMPANY  LTD,      3638.90,      3619.60,0.53
G,BRITANNIA INDUSTRIES LTD,      6096.00,      6066.00,0.49
G,GAIL (INDIA) LTD,       169.07,       168.32,0.45
G,ZYDUS LIFESCIENCES LTD,       918.10,       914.35,0.41
G,INDIAN OIL CORP LTD,       168.16,       167.74,0.25
G,SHREE CEMENT LIMITED,     26045.00,     25990.00,0.21
G,TORRENT PHARMACEUTICALS L,      3770.80,      3765.10,0.15
G,BHARAT PETROLEUM CORP  LT,       368.35,       368.15,0.05
G,VEDANTA LIMITED,       569.80,       569.50,0.05
G,BAJAJ HOLDINGS & INVS LTD,     11072.00,     11068.00,0.04
 , , , , 
L,CHOLAMANDALAM IN & FIN CO,      1673.50,      1715.40,-2.44
L,MAZAGON DOCK SHIPBUIL LTD,      2356.60,      2408.00,-2.13
