Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
17 DEC 2025,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,17 DEC 2025,               5.00,          35286502,            191.20,     6747132047.40 
17 DEC 2025,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,17 DEC 2025,              10.00,          10500000,             47.60,      499800000.00
17 DEC 2025,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,17 DEC 2025,               1.00,         404688480,           1126.10,   455719697328.00    
17 DEC 2025,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,17 DEC 2025,              10.00,         207382685,             15.95,     3303606172.05 
17 DEC 2025,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,17 DEC 2025,              10.00,          11265070,          35130.00,   395741909100.00   
17 DEC 2025,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,17 DEC 2025,               2.00,          18000000,             38.70,      696420000.00    
17 DEC 2025,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,17 DEC 2025,              10.00,          31242338,            307.10,     9594521999.80    
17 DEC 2025,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,17 DEC 2025,               2.00,          46078537,            740.45,    34118852721.65   
17 DEC 2025,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,17 DEC 2025,              10.00,         176119858,             14.35,     2530842359.45  
17 DEC 2025,AAATECH,BE,AAA TECHNOLOGIES LIMITED ,Listed    ,17 DEC 2025,              10.00,          12826800,             99.05,     1270622808.00   
17 DEC 2025,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,17 DEC 2025,              10.00,         433092732,            477.40,   206758470256.80 
17 DEC 2025,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,17 DEC 2025,              10.00,          14172816,             74.80,     1060126636.80    
17 DEC 2025,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,17 DEC 2025,               1.00,         101250000,              8.90,      899100000.00    
17 DEC 2025,AARADHYA,ST,AARADHYA DISPOSAL INDUS L,Listed    ,17 DEC 2025,              10.00,          14138000,            136.00,     1922768000.00  
17 DEC 2025,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,17 DEC 2025,              10.00,          28354303,             68.05,     1929510319.15
17 DEC 2025,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,17 DEC 2025,              10.00,          20946478,            180.00,     3770366040.00     
17 DEC 2025,AARTECH,EQ,AARTECH SOLONICS LIMITED ,Listed    ,17 DEC 2025,               5.00,          31770376,             49.00,     1556748424.00   
17 DEC 2025,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,17 DEC 2025,              10.00,          91270000,            385.05,    35143513500.00
17 DEC 2025,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,17 DEC 2025,               5.00,         362593869,            367.55,   133271376550.95  
17 DEC 2025,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,17 DEC 2025,               5.00,          90641224,            730.25,    66190753826.00
17 DEC 2025,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,17 DEC 2025,              10.00,           8458495,            399.90,     3382552150.50 
17 DEC 2025,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,17 DEC 2025,              10.00,          14810700,            124.65,     1846449969.00     
17 DEC 2025,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,17 DEC 2025,               5.00,          22600000,             24.55,      554830000.00    
17 DEC 2025,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,17 DEC 2025,              10.00,          79161353,           1472.30,   116549260021.90     
17 DEC 2025,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,17 DEC 2025,               2.00,          58365323,             26.10,     1524502236.75      
17 DEC 2025,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,17 DEC 2025,               2.00,         211908375,           5171.00,  1095778207125.00       
17 DEC 2025,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,17 DEC 2025,              10.00,          21249302,          27630.00,   587118214260.00
17 DEC 2025,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,17 DEC 2025,              10.00,        2612436210,            346.80,   905992877628.00 
17 DEC 2025,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,17 DEC 2025,              10.00,          21963620,            414.75,     9109411395.00    
17 DEC 2025,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,17 DEC 2025,               2.00,         279710151,            611.05,   170916887768.55      
17 DEC 2025,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,17 DEC 2025,              10.00,        1220266696,             76.40,    93203970240.50     
17 DEC 2025,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,17 DEC 2025,              10.00,          18587830,             34.95,      649644658.50 
17 DEC 2025,ABINFRA,EQ,A B INFRABUILD LIMITED   ,Listed    ,17 DEC 2025,               1.00,         638789360,             18.95,    12105058372.00   
17 DEC 2025,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,17 DEC 2025,              10.00,        1220294773,            127.25,   155258103968.80     
17 DEC 2025,ABMINTLLTD,EQ,ABM INTERNATIONAL LTD    ,Listed    ,17 DEC 2025,              10.00,           9408000,             42.05,      395700480.00
17 DEC 2025,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
17 DEC 2025,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,17 DEC 2025,              10.00,         111695680,           1746.30,   195054165984.00     
17 DEC 2025,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,17 DEC 2025,               5.00,         288658807,            772.85,   223089958989.95   
17 DEC 2025,ABSMARINE,SM,ABS MARINE SERVICES LTD  ,Listed    ,17 DEC 2025,              10.00,          24550000,            198.10,     4863355000.00 
17 DEC 2025,ACC,EQ,ACC LIMITED              ,Listed    ,17 DEC 2025,              10.00,         187787263,           1758.90,   330299016890.70       
