"Security Name","Symbol Name","Trade Date","Quantity"
"THE INDIAN HOTELS CO. LTD","INDHOTEL","16-Dec-2025","91"
"MIRAEAMC - MAFANG","MAFANG","16-Dec-2025","1"
"HIMACHAL FUTURISTIC COMMUNICATIONS LIMITED","HFCL","16-Dec-2025","7221"
"INDIAN OIL CORP LTD","IOC","16-Dec-2025","357"
"JAIPRAKASH POWER VEN. LTD","JPPOWER","16-Dec-2025","350"
"ADANI WILMAR LIMITED","AWL","16-Dec-2025","390"
"PCBL LIMITED","PCBL","16-Dec-2025","1775"
"INTERGLOBE AVIATION LTD  ","INDIGO","16-Dec-2025","18"
"CITY UNION BANK LTD      ","CUB","16-Dec-2025","1"
"LLOYDS ENTERPRISES LTD","LLOYDSENT","16-Dec-2025","1000"
"COMPUTER AGE MGMT SER LTD","CAMS","16-Dec-2025","26"
"IRFC","IRFC","16-Dec-2025","1770"
"ASHOK LEYLAND LTD","ASHOKLEY","16-Dec-2025","112000"
"SAFARI IND (INDIA) LTD","SAFARI","16-Dec-2025","8"
"AMBUJA CEMENTS LTD","AMBUJACEM","16-Dec-2025","200"
"SUPREME INDUSTRIES LTD","SUPREMEIND","16-Dec-2025","5"
"POWER GRID CORP. LTD.","POWERGRID","16-Dec-2025","49"
"LLOYDS ENGG WORK LIMITED","LLOYDSENGG","16-Dec-2025","1"
"BANK OF INDIA","BANKINDIA","16-Dec-2025","850"
"INDIAN ENERGY EXCHANGE LIMITED","IEX","16-Dec-2025","564"
"NCC LIMITED","NCC","16-Dec-2025","875"
"NHPC LTD","NHPC","16-Dec-2025","3120"
"STEEL AUTHORITY OF INDIA","SAIL","16-Dec-2025","616"
"RELIANCE INDUSTRIES LTD","RELIANCE","16-Dec-2025","50"
"AUTHUM INVEST & INFRA LTD","AIIL","16-Dec-2025","5"
"KIRLOSENG","KIRLOSENG","16-Dec-2025","14"
"YES BANK LIMITED","YESBANK","16-Dec-2025","378"
"BLS INTL SERVS LTD","BLS","16-Dec-2025","90"
"V-MART RETAIL LIMITED","VMART","16-Dec-2025","19"
"BANDHAN BANK LIMITED","BANDHANBNK","16-Dec-2025","1452"
"HINDUSTAN AERONAUTICS LTD","HAL","16-Dec-2025","32"
"MAZAGON DOCK SHIPBUIL LTD","MAZDOCK","16-Dec-2025","60"
"LARSEN & TOUBRO LTD.","LT","16-Dec-2025","10"
"HDFCAMC - HDFCMID150","HDFCMID150","16-Dec-2025","37"
"NTPC GREEN ENERGY LIMITED","NTPCGREEN","16-Dec-2025","432"
"FUSION MICRO FINANCE LTD","FUSION","16-Dec-2025","500"
"HCL TECHNOLOGIES LTD","HCLTECH","16-Dec-2025","3"
"STATE BANK OF INDIA","SBIN","16-Dec-2025","25"
"BRAINBEES SOLUTIONS LTD","FIRSTCRY","16-Dec-2025","49"
"CUPID LIMITED","CUPID","16-Dec-2025","25"
"SKY GOLD AND DIAMONDS LTD","SKYGOLD","16-Dec-2025","9"
"BIKAJI FOODS INTERN LTD","BIKAJI","16-Dec-2025","100"
"GMR AIRPORTS LIMITED","GMRAIRPORT","16-Dec-2025","50"
"NATIONAL ALUMINIUM CO LTD","NATIONALUM","16-Dec-2025","72"
"MUTHOOT FINANCE LIMITED","MUTHOOTFIN","16-Dec-2025","10"
"REFEX INDUSTRIES LIMITED","REFEX","16-Dec-2025","97"
"ETERNAL LIMITED","ETERNAL","16-Dec-2025","1"
"VEDANTA LIMITED","VEDL","16-Dec-2025","1174"
"ADANI ENERGY SOLUTION LTD","ADANIENSOL","16-Dec-2025","45"
"ANGEL ONE LTD","ANGELONE","16-Dec-2025","14"
"CANARA BANK","CANBK","16-Dec-2025","541"
"SUZLON ENERGY LIMITED","SUZLON","16-Dec-2025","3"
"ASIAN PAINTS LIMITED","ASIANPAINT","16-Dec-2025","13938"
"EICHER MOTORS LIMITED","EICHERMOT","16-Dec-2025","40"
"INDIAN RENEWABLE ENERGY","IREDA","16-Dec-2025","767"
"SRF LTD","SRF","16-Dec-2025","5"
"TATA CONSULTANCY SERV LT","TCS","16-Dec-2025","10"
"ONE 97 COMMUNICATIONS LTD","PAYTM","16-Dec-2025","1"
"PIRAMAL PHARMA LIMITED","PPLPHARMA","16-Dec-2025","50"
"BANK OF BARODA","BANKBARODA","16-Dec-2025","2"
"SHAKTI PUMPS (I) LTD","SHAKTIPUMP","16-Dec-2025","70"
"BHARTI AIRTEL LIMITED","BHARTIARTL","16-Dec-2025","885"
"PATEL ENGINEERING LTD.","PATELENG","16-Dec-2025","366272"
"IDEA CELLULAR LIMITED","IDEA","16-Dec-2025","37"
"CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED","CDSL","16-Dec-2025","130"
"SAMMAAN CAPITAL LIMITED","SAMMAANCAP","16-Dec-2025","1313"
"TATA TECHNOLOGIES LIMITED","TATATECH","16-Dec-2025","240"
"TITAGARH RAIL SYSTEMS","TITAGARH","16-Dec-2025","175"
"TORRENT POWER LTD","TORNTPOWER","16-Dec-2025","45"
"EPACK DURABLE LIMITED","EPACK","16-Dec-2025","20"
"ULTRATECH CEMENT LIMITED","ULTRACEMCO","16-Dec-2025","3"
"INDUS","INDUSTOWER","16-Dec-2025","50"
