MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AMJUMBO,A AND M JUMBO BAGS LTD,         7.80,         8.00,         8.00,         8.00,         8.00,                    64000.00,8000, ,         8.20,         6.80
N,SM,AGUL,A G UNIVERSAL LIMITED,        64.80,        61.60,        61.60,        61.60,        61.60,                   369600.00,6000, ,        70.50,        37.30
N,SM,AAKAAR,AAKAAR MEDICAL TECHNO LTD,        79.50,        76.95,        76.95,        72.30,        74.80,                   358960.00,4800, ,       105.00,        62.00
N,ST,AARADHYA,AARADHYA DISPOSAL INDUS L,       130.15,       136.00,       136.00,       136.00,       136.00,                   163200.00,1200, ,       182.00,        97.50
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        22.45,        22.30,        24.80,        22.00,        24.55,                  1842800.00,78000, ,        27.00,        14.50
N,SM,ABHAPOWER,ABHA POWER N STEEL LTD,        33.00,        35.50,        35.50,        34.95,        34.95,                   112720.00,3200, ,        60.90,        26.45
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        41.00,        40.00,        40.00,        40.00,        40.00,                    60000.00,1500, ,        90.90,        36.70
N,SM,ABSMARINE,ABS MARINE SERVICES LTD,       202.05,       205.50,       205.50,       197.00,       198.10,                  7598900.00,38000, ,       259.00,        92.10
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       344.65,       344.65,       348.65,       340.00,       344.50,                  5354800.00,15500, ,       362.00,       180.00
N,ST,ACCPL,ACCRETION PHARMA LIMITED,        90.85,        90.00,        90.85,        89.00,        90.00,                  1182420.00,13200, ,       102.50,        53.80
N,SM,ADDICTIVE,ADDICTIVE LEARNING TECH L,       110.05,       110.05,       110.05,       108.50,       108.50,                   218550.00,2000, ,       391.00,       104.20
N,SM,AUSL,ADITYA ULTRA STEEL LTD,        27.00,        26.05,        26.10,        25.65,        25.85,                   518500.00,20000, ,        54.50,        23.65
N,SM,AERON,AERON COMPOSITE LIMITED,        99.00,        96.00,        96.00,        96.00,        96.00,                    96000.00,1000, ,       202.20,        89.05
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,       103.00,        97.00,        97.00,        95.00,        95.00,                   289000.00,3000, ,       155.60,        60.00
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        40.50,        40.05,        40.05,        40.05,        40.05,                    60075.00,1500, ,        73.00,        38.00
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       126.05,       126.00,       126.00,       123.00,       125.80,                  1953360.00,15600, ,       174.05,        81.00
N,SM,AGNI,AGNI GREEN POWER LTD,        23.30,        23.30,        25.30,        23.30,        24.95,                   367125.00,15000, ,        48.25,        17.90
N,ST,AIMTRON,AIMTRON ELECTRONICS LTD,       803.55,       803.50,       815.05,       794.00,       796.75,                 10748070.00,13400, ,      1040.00,       358.00
N,SM,AKANKSHA,AKANKSHA POWER N INFRA L,        72.15,        72.85,        72.85,        70.00,        70.10,                  1071750.00,15000, ,       168.85,        70.00
N,ST,AKIKO,AKIKO GLOBAL SERVICES L,       261.75,       260.00,       260.00,       259.50,       259.50,                   623200.00,2400, ,       299.30,        62.00
N,SM,ALCODIS,ALCOKRAFT DISTILLERIE LTD,       104.00,       105.50,       108.00,       105.50,       108.00,                   133437.50,1250, ,       265.00,       101.15
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       214.20,       218.50,       218.50,       215.05,       215.05,                  1905220.00,8800, ,       592.00,       213.05
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,       848.70,       845.00,       845.00,       800.00,       805.45,                 89743775.00,109800, ,      1449.70,       495.00
N,SM,ALUWIND,ALUWIND INFRA-TECH LTD,        73.05,        70.00,        72.00,        69.75,        72.00,                  1709475.00,24000, ,        95.80,        48.00
N,SM,AMBEY,AMBEY LABORATORIES LTD,        39.20,        39.20,        39.20,        39.20,        39.20,                    78400.00,2000, ,        71.80,        31.05
N,SM,AMIABLE,AMIABLE LOGISTICS (I) LTD,        63.75,        56.05,        71.55,        56.05,        70.50,                   856160.00,12800, ,       110.00,        54.00
N,ST,AMCL,ANB METAL CAST LIMITED,       349.35,       347.50,       355.50,       340.05,       351.40,                  3337800.00,9600, ,       369.25,       161.70
N,SM,AISL,ANI INTEGRATED SERV LTD.,        84.40,        80.25,        80.25,        80.25,        80.25,                    48150.00,600, ,       189.90,        77.00
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       413.00,       410.00,       410.00,       403.00,       404.00,                  1463540.00,3600, ,       497.00,       239.00
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       225.00,       227.00,       227.00,       219.50,       220.00,                 26649912.50,120000, ,       441.00,       208.00
G,ST,ANONDITA,ANONDITA MEDICARE LIMITED,       705.90,       691.80,       720.00,       691.80,       720.00,                  8391600.00,12000, ,       741.85,       261.75
N,SM,ANYA,ANYA POLYTECH & FERTI LTD,        21.25,        21.45,        22.00,        21.30,        21.40,                   862750.00,40000, ,        29.05,        16.20
N,SM,APEXECO,APEX ECOTECH LIMITED,       131.50,       131.60,       133.00,       131.50,       131.90,                   952680.00,7200, ,       169.00,        73.00
N,SM,APRAMEYA,APRAMEYA ENGINEERING LTD,       320.35,       325.00,       327.00,       314.00,       324.20,                  4831850.00,15000, ,       360.00,        86.50
N,SM,ARABIAN,ARABIAN PETROLEUM LIMITED,        73.90,        74.95,        74.95,        74.95,        74.95,                   149900.00,2000, ,        92.95,        63.00
N,SM,ARCIIL,ARC INSULATION & INSU LTD,        73.50,        70.00,        70.00,        70.00,        70.00,                   140000.00,2000, ,       145.00,        65.10
N,ST,ARHAM,ARHAM TECHNOLOGIES LTD,       142.90,       143.90,       144.80,       136.10,       142.20,                  8931650.00,63000, ,       161.00,        70.80
N,SM,ARISTO,ARISTO BIO T AND LIFESC L,       120.75,       126.00,       126.00,       117.20,       125.90,                   988080.00,8000, ,       152.90,        84.55
N,SM,ARUNAYA,ARUNAYA ORGANICS LIMITED,        17.70,        17.60,        17.70,        17.50,        17.55,                   600500.00,34000, ,        46.50,        17.50
N,SM,ARVINDPORT,ARVIND PORT AND INFRA LTD,        44.35,        42.75,        42.95,        42.15,        42.15,                  2224875.00,52500, ,        99.70,        41.25
N,ST,ASCOM,ASCOM LEASIN & INVEST LTD,       117.00,       119.50,       119.50,       118.00,       119.00,                  1122750.00,9500, ,       134.25,        76.55
N,SM,ASHALOG,ASHAPURA LOGISTICS LTD,        68.00,        69.40,        69.40,        69.40,        69.40,                    69400.00,1000, ,       102.95,        60.00
G,ST,ASLIND,ASL INDUSTRIES LIMITED,       107.55,       109.70,       109.70,       109.70,       109.70,                   219400.00,2000, ,       109.70,        29.00
N,SM,ASPIRE,ASPIRE & INNOVATIVE ADV L,        19.30,        19.00,        19.00,        19.00,        19.00,                    76000.00,4000, ,        47.45,        16.30
N,SM,ATCENERGY,ATC ENERGIES SYSTEM LTD,        38.55,        38.75,        38.75,        38.05,        38.05,                   509520.00,13200, ,       115.35,        37.25
N,SM,ATMASTCO,ATMASTCO LIMITED,       140.95,       141.00,       143.50,       138.00,       141.35,                  5956760.00,42400, ,       300.80,       138.00
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        39.00,        40.00,        41.00,        39.20,        41.00,                   255120.00,6400, ,        89.10,        35.75
N,SM,APS,AUSTRALIAN PREM SOLAR I L,       375.85,       378.60,       381.50,       375.30,       375.60,                  5097800.00,13500, ,       654.00,       345.00
N,SM,AVIANSH,AVI ANSH TEXTILE LIMITED,       115.90,       116.00,       116.50,       115.00,       115.50,                   694000.00,6000, ,       122.00,        93.80
N,SM,AVPINFRA,AVP INFRACON LIMITED,       123.35,       123.00,       125.95,       120.00,       120.50,                  4978960.00,40800, ,       264.30,       118.45
N,SM,BAGDIGITAL,B.A.G.CONVERGENCE LIMITED,       121.25,       121.25,       123.50,       121.25,       123.50,                  1771200.00,14400, ,       137.00,        95.75
N,SM,BABAFP,BABA FOOD PROCESSING,        31.70,        31.70,        31.70,        31.70,        31.70,                    50720.00,1600, ,        63.50,        29.55
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       629.55,       640.00,       640.00,       620.05,       623.40,                 18702018.75,29625, ,       649.90,       328.10
N,SM,BALAJIPHOS,BALAJI PHOSPHATES LIMITED,       145.00,       145.00,       145.40,       144.10,       145.00,                  1449250.00,10000, ,       184.70,        72.60
N,SM,BARFLEX,BARFLEX POLYFILMS LIMITED,        76.00,        76.30,        76.30,        76.00,        76.00,                   304600.00,4000, ,        82.40,        41.15
N,SM,BASILIC,BASILIC FLY STUDIO LTD,       319.40,       325.00,       329.45,       316.80,       317.65,                  5187915.00,16200, ,       509.80,       223.15
N,SM,BAWEJA,BAWEJA STUDIOS LIMITED,        38.00,        38.00,        39.05,        38.00,        39.05,                    61640.00,1600, ,        79.00,        37.60
N,ST,BEACON,BEACON TRUSTEESHIP LTD,        89.70,        91.70,        91.70,        85.70,        89.50,                   446300.00,5000, ,       105.45,        50.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,       124.70,       122.00,       122.60,       122.00,       122.60,                   305300.00,2500, ,       295.00,       110.40
N,SM,BHADORA,BHADORA INDUSTRIES LTD,        82.00,        78.00,        78.00,        78.00,        78.00,                    93600.00,1200, ,       128.85,        71.05
N,SM,BLUEPEBBLE,BLUE PEBBLE LIMITED,       121.05,       116.00,       125.90,       116.00,       116.00,                  1943420.00,16000, ,       370.85,        88.00
N,SM,BLUEWATER,BLUE WATER LOGISTICS LTD,       143.00,       145.00,       145.00,       145.00,       145.00,                  1595000.00,11000, ,       187.20,       125.40
N,SM,BMETRICS,BOMBAY METRICS S C LTD,        42.00,        42.00,        45.00,        42.00,        44.50,                  1106680.00,24800, ,        63.20,        38.10
N,SM,BOSS,BOSS PACKAGING SOLU LTD,        43.20,        42.90,        43.05,        42.90,        43.05,                   171900.00,4000, ,        56.30,        36.55
N,SM,BRACEPORT,BRACE PORT LOGISTICS LTD,        85.00,        82.00,        82.50,        80.70,        82.00,                   652640.00,8000, ,       111.00,        69.00
N,SM,BULKCORP,BULKCORP INTERNATIONAL L,        58.00,        57.35,        57.35,        55.10,        55.10,                   201120.00,3600, ,       119.85,        50.55
N,SM,CPS,C P S SHAPERS LIMITED,       991.90,      1041.45,      1041.45,      1041.00,      1041.45,                  7810807.50,7500, ,      1095.00,       412.00
N,SM,C2C,C2C ADVANCED SYSTEMS LTD,       469.25,       468.00,       476.80,       455.50,       464.80,                 18620175.00,40200, ,       954.00,       250.15
N,SM,CADSYS,CADSYS (INDIA) LIMITED,        40.40,        41.80,        42.35,        40.50,        40.90,                   306875.00,7500, ,       127.90,        35.60
N,SM,CANARYS,CANARYS AUTOMATIONS LTD,        31.30,        31.30,        31.30,        30.35,        30.55,                   741200.00,24000, ,        46.40,        23.50
N,SM,CUDML,CASH UR DRIVE MARKETING L,       143.20,       143.00,       143.00,       140.45,       143.00,                  1994200.00,14000, ,       166.50,       130.00
N,SM,CEDAAR,CEDAAR TEXTILE LIMITED,        93.10,        94.00,        95.00,        88.95,        90.85,                 19989450.00,218000, ,       136.30,        60.00
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        16.75,        17.50,        17.50,        16.15,        16.65,                   220440.00,13200, ,        28.60,        15.60
N,SM,CELLECOR,CELLECOR GADGETS LIMITED,        30.50,        31.25,        31.25,        29.75,        29.95,                  6591000.00,219000, ,        81.50,        25.75
N,SM,CMNL,CHAMAN METALLICS LIMITED,       123.10,       123.00,       123.00,       117.00,       117.40,                  1446562.50,12000, ,       183.90,       114.75
N,SM,CHAMUNDA,CHAMUNDA ELECTRICAL LTD,        51.10,        51.90,        53.90,        51.90,        53.00,                   790500.00,15000, ,        71.00,        36.10
N,SM,CHANDAN,CHANDAN HEALTHCARE LTD,       291.15,       291.15,       291.15,       280.00,       283.95,                 16405200.00,57600, ,       358.00,       140.00
N,SM,CHAVDA,CHAVDA INFRA LIMITED,       120.30,       120.30,       120.30,       111.00,       112.30,                  3779700.00,33000, ,       186.00,        82.10
N,SM,CLASSICEIL,CLASSIC ELECTRODE (IND) L,        70.10,        72.00,        72.00,        68.55,        68.55,                   891440.00,12800, ,       113.90,        66.00
N,ST,CSSL,CLEAR SECURED SERVICES L,       110.20,       110.05,       115.70,       108.90,       115.70,                 12467650.00,109000, ,       119.00,        96.75
N,ST,COMMITTED,COMMITTED CARGO CARE LTD,       216.85,       216.85,       216.85,       216.85,       216.85,                   173480.00,800, ,       274.05,        88.90
N,SM,CONNPLEX,CONNPLEX CINEMAS LIMITED,       254.35,       252.00,       252.00,       237.00,       239.30,                 17265480.00,71200, ,       270.00,       177.00
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        22.80,        21.90,        23.45,        21.80,        23.45,                   296470.35,13332, ,        41.60,        19.30
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,        74.45,        74.45,        76.80,        71.80,        76.40,                  8692750.00,116250, ,       931.00,        67.25
N,SM,CGRAPHICS,CREATIVE GRAPHICS S IND L,       199.95,       200.00,       200.00,       195.60,       196.00,                  2048760.00,10400, ,       259.00,       134.40
N,SM,CLSL,CROP LIFE SCIENCE LIMITED,        46.00,        46.00,        46.00,        45.00,        45.00,                   452200.00,10000, ,        62.80,        42.25
N,SM,CURIS,CURIS LIFESCIENCES LTD,       115.55,       116.00,       124.95,       115.00,       119.00,                  3467200.00,29000, ,       147.90,       107.00
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,        71.25,        67.70,        68.00,        67.70,        67.85,                   325240.00,4800, ,       118.00,        64.00
N,SM,DANISH,DANISH POWER LIMITED,       647.25,       654.00,       661.00,       652.00,       656.00,                  9358342.50,14250, ,      1316.00,       599.95
N,SM,DCCL,DAR CREDIT & CAPITAL LTD,        45.35,        45.05,        45.05,        44.20,        44.45,                   536700.00,12000, ,        66.00,        44.00
N,SM,DCG,DCG CABLES & WIRES LTD,        64.25,        64.05,        65.40,        64.00,        65.40,                  1079820.00,16800, ,       126.40,        55.00
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       154.85,       149.35,       154.00,       149.35,       152.05,                  1837230.00,12000, ,       374.80,       132.00
N,SM,DECCANTRAN,DECCAN TRANSCON LEASING L,        25.50,        25.60,        25.60,        24.20,        24.80,                   329520.00,13200, ,        67.50,        24.20
N,SM,DEEM,DEEM ROLL TECH LIMITED,        44.55,        47.05,        47.35,        45.60,        45.60,                   279350.00,6000, ,        94.90,        38.35
N,SM,DELAPLEX,DELAPLEX LIMITED,       133.55,       133.55,       134.80,       132.00,       132.50,                   717510.00,5400, ,       248.00,       126.00
N,SM,DELTIC,DELTA AUTOCORP LIMITED,        47.30,        47.00,        47.20,        46.00,        46.85,                   700000.00,15000, ,       183.75,        43.00
N,SM,DESTINY,DESTINY LOGISTICS & I LTD,       127.50,       121.15,       125.50,       121.15,       125.50,                  2745450.00,22500, ,       175.00,        67.80
N,SM,DHANLAXMI,DHANLAXMI CROP SCIENCE L,        26.65,        27.85,        27.85,        26.60,        26.60,                   272700.00,10000, ,       110.00,        25.05
G,ST,DHARIWAL,DHARIWALCORP LIMITED,       324.60,       331.05,       331.05,       331.05,       331.05,                  2184930.00,6600, ,       371.30,        90.50
N,SM,DIGIKORE,DIGIKORE STUDIOS LIMITED,        79.35,        79.50,        80.35,        79.50,        80.35,                  1216740.00,15200, ,       310.50,        64.80
N,ST,DIVINEHIRA,DIVINE HIRA JEWELLERS LTD,       179.55,       181.50,       188.50,       181.30,       181.30,                  4465920.00,24000, ,       192.80,        43.00
N,ST,DPEL,DIVINE POWER ENERGY LTD,       268.10,       268.40,       268.40,       262.35,       263.55,                  2247100.00,8500, ,       305.70,        92.05
N,SM,DIVYADHAN,DIVYADHAN RECYCLING IND L,        28.00,        27.00,        27.00,        27.00,        27.00,                    54000.00,2000, ,        78.90,        27.00
N,ST,DHTL,DOCMODE HEALTH TECH LTD,        62.10,        59.00,        61.80,        59.00,        59.00,                   287680.00,4800, ,       125.20,        36.90
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        38.95,        38.00,        39.75,        37.80,        38.75,                   921600.00,24000, ,        44.25,        32.00
N,SM,DRONE,DRONE DESTINATION LIMITED,        66.95,        67.00,        68.00,        66.60,        67.85,                  1754075.00,26000, ,       219.85,        64.55
N,SM,DRSDILIP,DRS DILIP ROADLINES LTD.,        64.80,        64.20,        66.00,        64.20,        64.50,                   416160.00,6400, ,       136.55,        64.20
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       160.00,       155.55,       158.10,       155.50,       158.10,                   375320.00,2400, ,       209.50,        93.50
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        32.25,        32.25,        32.25,        31.75,        31.75,                   160000.00,5000, ,        70.00,        28.05
N,SM,DURLAX,DURLAX TOP SURFACE LTD,        40.65,        40.65,        40.65,        40.20,        40.45,                   726200.00,18000, ,        63.55,        32.70
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,       104.15,       102.95,       103.00,       100.10,       101.05,                  1118925.00,11000, ,       391.80,        85.40
N,ST,EFACTOR,E FACTOR EXPERIENCES LTD,       325.00,       325.00,       325.00,       325.00,       325.00,                   130000.00,400, ,       348.00,       127.50
N,SM,ECOLINE,ECOLINE EXIM LIMITED,       133.85,       135.05,       135.20,       129.50,       130.00,                  2486300.00,19000, ,       143.90,       126.05
N,SM,EFFWA,EFFWA INFRA & RESEARCH L,       241.10,       241.50,       244.95,       230.00,       231.30,                  8248780.00,34800, ,       272.95,       147.55
N,SM,EFORCE,ELECTRO FORCE (INDIA) LTD,        34.30,        34.30,        34.45,        34.30,        34.40,                   123780.00,3600, ,        64.50,        29.20
N,SM,ELGNZ,ELEGANZ INTERIORS LIMITED,        99.90,       100.35,       100.35,        98.00,        98.20,                  1391400.00,14000, ,       163.50,        94.00
N,SM,EMAPARTNER,EMA PARTNERS INDIA LTD,        86.60,        87.10,        87.10,        87.00,        87.00,                   174100.00,2000, ,       158.80,        83.00
N,SM,ETML,EMERALD TYRE MANUF LTD,       106.00,       103.15,       103.15,        98.55,       102.00,                  4726200.00,46800, ,       198.95,        96.10
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,       120.70,       120.00,       121.00,       120.00,       120.00,                   108450.00,900, ,       501.90,       119.00
