Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
18-DEC-2025,20MICRONS,191.15,191.15,0.0000,0.0287,0.0287,0.5483
18-DEC-2025,21STCENMGM,48.55,47.60,0.0198,0.0174,0.0175,0.3343
18-DEC-2025,360ONE,1143.20,1126.10,0.0151,0.0227,0.0227,0.4337
18-DEC-2025,3IINFOLTD,15.71,15.93,-0.0139,0.0269,0.0269,0.5139
18-DEC-2025,3MINDIA,35015.25,35127.90,-0.0032,0.0177,0.0176,0.3362
18-DEC-2025,3PLAND,37.57,38.69,-0.0294,0.0300,0.0300,0.5731
18-DEC-2025,500009,27.30,27.70,-0.0145,0.0291,0.0290,0.5540
18-DEC-2025,500012,48.22,48.19,0.0006,0.0246,0.0245,0.4681
18-DEC-2025,500014,4.80,4.89,-0.0186,0.0267,0.0267,0.5101
18-DEC-2025,500016,8.84,8.86,-0.0023,0.0315,0.0314,0.5999
18-DEC-2025,500028,38.32,37.51,0.0214,0.0305,0.0305,0.5827
18-DEC-2025,500058,11.15,11.02,0.0117,0.0278,0.0278,0.5311
18-DEC-2025,500068,12263.90,12106.05,0.0130,0.0154,0.0154,0.2942
18-DEC-2025,500069,306.65,307.60,-0.0031,0.0252,0.0252,0.4814
18-DEC-2025,500123,9273.45,9418.25,-0.0155,0.0229,0.0229,0.4375
18-DEC-2025,500142,10.49,10.23,0.0251,0.0370,0.0370,0.7069
18-DEC-2025,500143,201.55,196.00,0.0279,0.0335,0.0335,0.6400
18-DEC-2025,500147,4824.30,4865.45,-0.0085,0.0353,0.0352,0.6725
18-DEC-2025,500159,120.15,121.35,-0.0099,0.0230,0.0230,0.4394
18-DEC-2025,500166,168.35,174.75,-0.0373,0.0234,0.0235,0.4490
18-DEC-2025,500168,838.70,838.25,0.0005,0.0117,0.0117,0.2235
18-DEC-2025,500170,21.58,21.95,-0.0170,0.0306,0.0306,0.5846
18-DEC-2025,500192,1.98,1.97,0.0051,0.0296,0.0295,0.5636
18-DEC-2025,500202,10.38,9.90,0.0473,0.0371,0.0372,0.7107
18-DEC-2025,500206,72.89,72.35,0.0074,0.0305,0.0304,0.5808
18-DEC-2025,500213,376.60,384.95,-0.0219,0.0238,0.0238,0.4547
18-DEC-2025,500220,158.90,165.95,-0.0434,0.0288,0.0289,0.5521
18-DEC-2025,500239,16.50,16.74,-0.0144,0.0325,0.0324,0.6190
18-DEC-2025,500240,276.05,276.80,-0.0027,0.0298,0.0297,0.5674
18-DEC-2025,500245,444.35,450.30,-0.0133,0.0209,0.0208,0.3974
18-DEC-2025,500246,71.00,73.99,-0.0413,0.0425,0.0425,0.8120
18-DEC-2025,500248,6.37,6.07,0.0482,0.0294,0.0295,0.5636
18-DEC-2025,500264,147.15,150.45,-0.0222,0.0314,0.0313,0.5980
18-DEC-2025,500267,326.55,332.00,-0.0166,0.0241,0.0241,0.4604
18-DEC-2025,500270,115.30,116.00,-0.0061,0.0233,0.0233,0.4451
18-DEC-2025,500277,7.41,7.34,0.0095,0.0387,0.0386,0.7375
18-DEC-2025,500285,30.44,30.53,-0.0030,0.0332,0.0332,0.6343
18-DEC-2025,500298,757.50,765.00,-0.0099,0.0290,0.0289,0.5521
18-DEC-2025,500307,499.20,501.30,-0.0042,0.0136,0.0135,0.2579
18-DEC-2025,500319,77.49,77.17,0.0041,0.0280,0.0280,0.5349
18-DEC-2025,500322,129.80,125.00,0.0377,0.0324,0.0325,0.6209
18-DEC-2025,500346,59.83,61.34,-0.0249,0.0318,0.0318,0.6075
18-DEC-2025,500357,9.15,9.15,0.0000,0.0323,0.0323,0.6171
18-DEC-2025,500360,122.14,125.71,-0.0288,0.0378,0.0378,0.7222
18-DEC-2025,500365,36.83,35.04,0.0498,0.0267,0.0268,0.5120
18-DEC-2025,500370,35.80,34.39,0.0402,0.0354,0.0354,0.6763
18-DEC-2025,500388,121.40,116.16,0.0441,0.0341,0.0341,0.6515
18-DEC-2025,500414,349.15,366.60,-0.0488,0.0330,0.0331,0.6324
18-DEC-2025,500421,15.99,15.99,0.0000,0.0325,0.0324,0.6190
18-DEC-2025,500422,171.80,170.22,0.0092,0.0385,0.0384,0.7336
18-DEC-2025,500426,2.48,2.53,-0.0200,0.0393,0.0392,0.7489
18-DEC-2025,500449,30.18,30.81,-0.0207,0.0298,0.0298,0.5693
18-DEC-2025,500450,418.00,440.00,-0.0513,0.0296,0.0298,0.5693
18-DEC-2025,500458,28.60,29.40,-0.0276,0.0334,0.0333,0.6362
18-DEC-2025,500500,16.94,16.94,0.0000,0.0329,0.0329,0.6286
18-DEC-2025,500672,783.30,774.75,0.0110,0.0171,0.0171,0.3267
18-DEC-2025,501110,7.15,7.15,0.0000,0.0006,0.0006,0.0115
18-DEC-2025,501111,12.14,12.14,0.0000,0.0038,0.0038,0.0726
18-DEC-2025,501144,190.30,190.30,0.0000,0.0214,0.0213,0.4069
18-DEC-2025,501148,439.15,445.85,-0.0151,0.0152,0.0152,0.2904
18-DEC-2025,501270,1.34,1.34,0.0000,0.0009,0.0009,0.0172
18-DEC-2025,501298,5572.00,5587.95,-0.0029,0.0230,0.0230,0.4394
18-DEC-2025,501311,21.91,23.06,-0.0512,0.0315,0.0316,0.6037
18-DEC-2025,501314,0.67,0.66,0.0150,0.0331,0.0330,0.6305
18-DEC-2025,501351,100.00,99.90,0.0010,0.0302,0.0301,0.5751
18-DEC-2025,501370,137.00,131.90,0.0379,0.0347,0.0347,0.6629
18-DEC-2025,501386,14.35,14.35,0.0000,0.0142,0.0142,0.2713
18-DEC-2025,501391,612.55,629.95,-0.0280,0.0339,0.0339,0.6477
18-DEC-2025,501421,7900.00,7800.00,0.0127,0.0331,0.0331,0.6324
18-DEC-2025,501430,1695.00,1679.60,0.0091,0.0286,0.0286,0.5464
18-DEC-2025,501477,241.95,242.00,-0.0002,0.0320,0.0319,0.6094
18-DEC-2025,501479,11.02,11.02,0.0000,0.0000,0.0000,0.0000
18-DEC-2025,501622,72.83,72.83,0.0000,0.0266,0.0265,0.5063
18-DEC-2025,501630,24.48,24.48,0.0000,0.0021,0.0021,0.0401
18-DEC-2025,501700,6.78,6.89,-0.0161,0.0274,0.0273,0.5216
18-DEC-2025,501833,21.02,21.40,-0.0179,0.0309,0.0309,0.5903
18-DEC-2025,501848,60.86,60.88,-0.0003,0.0319,0.0318,0.6075
18-DEC-2025,501945,6.25,6.32,-0.0111,0.0121,0.0121,0.2312
18-DEC-2025,502015,27.11,28.11,-0.0362,0.0320,0.0320,0.6114
18-DEC-2025,502250,511.35,505.65,0.0112,0.0297,0.0297,0.5674
18-DEC-2025,502281,9.68,9.48,0.0209,0.0289,0.0289,0.5521
18-DEC-2025,502294,41.74,38.84,0.0720,0.0399,0.0402,0.7680
18-DEC-2025,502445,49.74,47.46,0.0469,0.0362,0.0362,0.6916
18-DEC-2025,502587,65.20,65.22,-0.0003,0.0256,0.0256,0.4891
18-DEC-2025,502589,121.00,121.00,0.0000,0.0294,0.0293,0.5598
18-DEC-2025,502850,14.32,14.32,0.0000,0.0048,0.0048,0.0917
18-DEC-2025,502865,315.10,316.75,-0.0052,0.0265,0.0264,0.5044
18-DEC-2025,502873,105.00,107.00,-0.0189,0.0294,0.0293,0.5598
18-DEC-2025,502893,76.52,84.00,-0.0933,0.0438,0.0442,0.8444
18-DEC-2025,502901,99.12,97.16,0.0200,0.0252,0.0252,0.4814
18-DEC-2025,502933,107.00,101.05,0.0572,0.0303,0.0305,0.5827
18-DEC-2025,502958,7753.75,7960.00,-0.0263,0.0213,0.0213,0.4069
18-DEC-2025,503092,37.54,37.54,0.0000,0.0488,0.0487,0.9304
18-DEC-2025,503127,4664.95,4664.95,0.0000,0.0274,0.0274,0.5235
18-DEC-2025,503229,169.00,169.00,0.0000,0.0328,0.0328,0.6266
18-DEC-2025,503349,6268.90,6268.90,0.0000,0.0279,0.0279,0.5330
18-DEC-2025,503622,7.71,7.71,0.0000,0.0025,0.0025,0.0478
18-DEC-2025,503624,7.80,7.60,0.0260,0.0335,0.0335,0.6400
18-DEC-2025,503626,10.50,10.50,0.0000,0.0000,0.0000,0.0000
18-DEC-2025,503635,56.86,54.16,0.0486,0.0170,0.0173,0.3305
18-DEC-2025,503639,7.24,7.24,0.0000,0.0365,0.0364,0.6954
18-DEC-2025,503641,2.56,2.60,-0.0155,0.0413,0.0412,0.7871
18-DEC-2025,503657,13.46,14.29,-0.0598,0.0289,0.0291,0.5560
18-DEC-2025,503659,96.53,96.53,0.0000,0.0286,0.0285,0.5445
18-DEC-2025,503663,1.95,1.95,0.0000,0.0276,0.0275,0.5254
18-DEC-2025,503671,4.55,4.55,0.0000,0.0000,0.0000,0.0000
18-DEC-2025,503675,1.05,1.14,-0.0822,0.0424,0.0427,0.8158
18-DEC-2025,503681,127330.85,128417.50,-0.0085,0.3941,0.3931,7.5102
18-DEC-2025,503685,16.61,17.17,-0.0332,0.0352,0.0352,0.6725
18-DEC-2025,503689,3.20,3.20,0.0000,0.0000,0.0000,0.0000
18-DEC-2025,503696,55.00,55.00,0.0000,0.0000,0.0000,0.0000
18-DEC-2025,503772,66.00,66.00,0.0000,0.0296,0.0295,0.5636
18-DEC-2025,503776,38.42,39.99,-0.0401,0.0392,0.0392,0.7489
18-DEC-2025,503804,231.05,233.75,-0.0116,0.0167,0.0167,0.3191
18-DEC-2025,503816,50.51,51.66,-0.0225,0.0289,0.0288,0.5502
18-DEC-2025,503837,14.67,13.98,0.0482,0.0356,0.0357,0.6820
18-DEC-2025,504000,82.34,82.37,-0.0004,0.0267,0.0266,0.5082
18-DEC-2025,504028,78.08,77.85,0.0030,0.0263,0.0263,0.5025
18-DEC-2025,504076,89.51,88.92,0.0066,0.0334,0.0333,0.6362
18-DEC-2025,504080,1045.00,1100.00,-0.0513,0.0344,0.0345,0.6591
18-DEC-2025,504084,908.00,916.10,-0.0089,0.0270,0.0270,0.5158
18-DEC-2025,504092,776.45,776.15,0.0004,0.0312,0.0312,0.5961
18-DEC-2025,504093,304.30,309.10,-0.0157,0.0207,0.0207,0.3955
18-DEC-2025,504132,851.25,850.00,0.0015,0.0303,0.0302,0.5770
18-DEC-2025,504176,533.00,538.35,-0.0100,0.0312,0.0311,0.5942
18-DEC-2025,504180,50.17,48.90,0.0256,0.0253,0.0253,0.4834
18-DEC-2025,504240,599.75,621.35,-0.0354,0.0302,0.0302,0.5770
18-DEC-2025,504258,752.95,750.35,0.0035,0.0275,0.0274,0.5235
18-DEC-2025,504273,23.72,23.85,-0.0055,0.0282,0.0282,0.5388
18-DEC-2025,504340,8.70,8.87,-0.0194,0.0171,0.0171,0.3267
18-DEC-2025,504351,1.70,1.73,-0.0175,0.0315,0.0314,0.5999
18-DEC-2025,504356,11.00,11.52,-0.0462,0.0388,0.0388,0.7413
18-DEC-2025,504365,4.11,4.11,0.0000,0.0006,0.0006,0.0115
18-DEC-2025,504369,0.49,0.49,0.0000,0.0099,0.0099,0.1891
18-DEC-2025,504375,225.10,225.10,0.0000,0.0124,0.0123,0.2350
18-DEC-2025,504378,2.46,2.58,-0.0476,0.0323,0.0324,0.6190
18-DEC-2025,504380,54.15,56.15,-0.0363,0.0303,0.0303,0.5789
18-DEC-2025,504392,14.82,15.26,-0.0293,0.0343,0.0343,0.6553
18-DEC-2025,504397,102.98,102.98,0.0000,0.0307,0.0306,0.5846
18-DEC-2025,504605,3108.45,3168.95,-0.0193,0.0283,0.0283,0.5407
18-DEC-2025,504646,569.00,561.00,0.0142,0.0334,0.0333,0.6362
18-DEC-2025,504648,45.51,46.88,-0.0297,0.0349,0.0349,0.6668
18-DEC-2025,504697,2.49,2.38,0.0452,0.0532,0.0531,1.0145
18-DEC-2025,504731,135.40,136.25,-0.0063,0.0264,0.0263,0.5025
18-DEC-2025,504746,1795.00,1830.65,-0.0197,0.0256,0.0255,0.4872
18-DEC-2025,504786,482.95,483.15,-0.0004,0.0279,0.0279,0.5330
18-DEC-2025,504810,75.58,76.82,-0.0163,0.0441,0.0440,0.8406
18-DEC-2025,504840,1437.80,1437.80,0.0000,0.0248,0.0247,0.4719
18-DEC-2025,504882,1253.35,1278.30,-0.0197,0.0235,0.0235,0.4490
18-DEC-2025,504903,27.96,28.20,-0.0085,0.0282,0.0282,0.5388
18-DEC-2025,504908,450.00,449.50,0.0011,0.0352,0.0352,0.6725
18-DEC-2025,504959,2019.90,2049.25,-0.0144,0.0190,0.0190,0.3630
18-DEC-2025,504988,832.65,835.00,-0.0028,0.0269,0.0268,0.5120
18-DEC-2025,504998,0.52,0.52,0.0000,0.0142,0.0142,0.2713
18-DEC-2025,505036,1680.30,1697.05,-0.0099,0.0278,0.0278,0.5311
18-DEC-2025,505163,749.30,749.00,0.0004,0.0300,0.0299,0.5712
18-DEC-2025,505212,126.80,124.60,0.0175,0.0362,0.0362,0.6916
18-DEC-2025,505216,2803.35,2848.95,-0.0161,0.0273,0.0272,0.5197
18-DEC-2025,505232,1187.45,1197.50,-0.0084,0.0248,0.0247,0.4719
18-DEC-2025,505250,78.40,76.74,0.0214,0.0309,0.0308,0.5884
18-DEC-2025,505285,712.00,712.00,0.0000,0.0135,0.0135,0.2579
18-DEC-2025,505299,607.25,612.85,-0.0092,0.0324,0.0323,0.6171
18-DEC-2025,505302,2212.20,2225.00,-0.0058,0.0319,0.0318,0.6075
18-DEC-2025,505320,147.35,147.35,0.0000,0.0128,0.0128,0.2445
18-DEC-2025,505336,0.56,0.57,-0.0177,0.0396,0.0395,0.7546
18-DEC-2025,505343,0.47,0.48,-0.0211,0.0418,0.0417,0.7967
18-DEC-2025,505358,172.40,171.70,0.0041,0.0249,0.0249,0.4757
18-DEC-2025,505502,1.57,1.60,-0.0189,0.0181,0.0181,0.3458
18-DEC-2025,505504,302.70,312.20,-0.0309,0.0195,0.0195,0.3725
