,18-Dec-2025
The Nifty witnessed an intraday movement of about 176.05 points.The closing index was 0.01 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 87865.32
, Traded Quantity (in Lakhs), 43797.69
, Number of Trades, 29913405
, Total Market Capitalisation (Rs. Crores), 46350554.12

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     25818.55,     25764.70,     25902.35,     25726.30,     25815.55,-3.00
,NIFTY50 EQL Wgt,     32710.15,     32702.25,     32799.55,     32557.35,     32721.40,11.25
,NIFTY100 EQL Wgt,     33329.90,     33321.15,     33359.30,     33066.85,     33268.85,-61.05
,NIFTY100 LowVol30,     20945.05,     20937.95,     20964.30,     20858.40,     20914.45,-30.60
,NIFTY Alpha 50,     49588.45,     49666.70,     49924.95,     49195.85,     49730.80,142.35
,NIFTY MIDCAP 150,     21846.25,     21859.40,     21921.35,     21672.50,     21892.75,46.50
,NIFTY SMLCAP 50,      8385.40,      8398.80,      8418.35,      8317.60,      8403.05,17.65
,NIFTY SMLCAP 250,     16210.70,     16218.10,     16222.20,     16046.15,     16192.15,-18.55
,NIFTY MIDSML 400,     19763.85,     19774.75,     19805.40,     19592.25,     19783.95,20.10
,NIFTY200 QUALTY30,     21084.65,     21106.80,     21145.80,     20993.50,     21120.40,35.75
,Nifty FinSrv25 50,     29679.10,     29629.55,     29881.60,     29606.75,     29747.05,67.95
,NIFTY AlphaLowVol,     26884.70,     26880.25,     26906.60,     26740.40,     26856.60,-28.10
,Nifty200Momentm30,     30910.15,     30888.95,     31123.60,     30774.85,     31023.70,113.55
,Nifty100ESGSecLdr,      4304.25,      4295.65,      4318.25,      4286.15,      4304.00,-0.25
,NIFTY100 ESG,      5114.45,      5111.50,      5132.40,      5092.55,      5120.10,5.65
,NIFTY M150 QLTY50,     23708.90,     23752.20,     23808.00,     23579.70,     23787.30,78.40
,NIFTY INDIA MFG,     15110.75,     15092.75,     15104.20,     14942.80,     15056.85,-53.90
,Nifty200 Alpha 30,     24705.80,     24724.50,     24896.95,     24569.40,     24838.20,132.40
,NiftyM150Momntm50,     61171.10,     61243.15,     61554.75,     60792.85,     61468.85,297.75
,Nifty50 USD,      9899.15,      9899.15,      9960.80,      9856.85,      9910.30,11.15
,Nifty IT,     38172.05,     38273.60,     38667.35,     38248.75,     38633.35,461.30
,Nifty Next 50,     68076.85,     68059.20,     68069.80,     67332.90,     67830.25,-246.60
,Nifty Bank,     58926.75,     58712.70,     59211.00,     58712.70,     58912.85,-13.90
,NIFTY MIDCAP 100,     59388.85,     59423.25,     59703.65,     58962.45,     59592.15,203.30
,Nifty 500,     23496.05,     23469.80,     23553.25,     23363.50,     23491.50,-4.55
,Nifty 100,     26342.65,     26295.45,     26410.90,     26222.45,     26324.65,-18.00
,Nifty Midcap 50,     17006.85,     17021.55,     17113.95,     16895.95,     17091.85,85.00
,Nifty Realty,       867.40,       866.45,       874.80,       856.05,       870.35,2.95
,Nifty Infra,      9495.55,      9476.10,      9501.20,      9430.75,      9463.20,-32.35
,Nifty Energy,     34737.00,     34701.50,     34741.75,     34349.80,     34464.30,-272.70
,Nifty FMCG,     54603.40,     54623.00,     54683.80,     54323.90,     54546.45,-56.95
,Nifty MNC,     30159.55,     30165.75,     30165.75,     29815.80,     29989.95,-169.60
,Nifty Pharma,     22612.15,     22601.20,     22601.20,     22394.25,     22557.60,-54.55
,Nifty PSE,      9474.80,      9465.20,      9482.95,      9378.50,      9428.70,-46.10
,Nifty PSU Bank,      8318.30,      8332.65,      8369.85,      8260.45,      8325.45,7.15
,Nifty Serv Sector,     33436.50,     33361.55,     33623.55,     33361.55,     33506.90,70.40
,Nifty Auto,     27489.25,     27459.20,     27475.75,     27013.75,     27321.90,-167.35
,Nifty Metal,     10490.15,     10490.25,     10585.45,     10430.55,     10516.15,26.00
,Nifty Media,      1411.05,      1409.80,      1412.50,      1390.30,      1393.20,-17.85
,NIFTY SMLCAP 100,     17138.55,     17154.15,     17190.45,     16998.60,     17160.20,21.65
,Nifty 200,     14331.25,     14311.65,     14375.05,     14260.80,     14332.05,0.80
,Nifty Div Opps 50,      6246.85,      6256.70,      6279.10,      6234.65,      6272.40,25.55
,Nifty Commodities,      9196.10,      9185.70,      9205.15,      9123.10,      9168.85,-27.25
,Nifty Consumption,     12136.85,     12120.75,     12134.05,     12039.15,     12103.50,-33.35
,Nifty Fin Service,     27251.95,     27153.25,     27400.45,     27153.25,     27267.10,15.15
,Nifty50 Div Point,       249.14,       249.14,       249.14,       249.14,       249.14,0.00
,Nifty100 Liq 15,      7437.85,      7428.65,      7456.30,      7402.70,      7424.40,-13.45
,Nifty CPSE,      6160.70,      6156.15,      6165.95,      6101.90,      6123.65,-37.05
,Nifty GrowSect 15,     12362.80,     12364.95,     12394.65,     12290.35,     12384.40,21.60
,Nifty50 PR 2x Lev,     14384.20,     14322.05,     14474.35,     14279.85,     14378.75,-5.45
,Nifty50 PR 1x Inv,       202.05,       202.50,       202.80,       201.45,       202.10,0.05
,Nifty50 TR 2x Lev,     21523.95,     21430.95,     21658.80,     21367.75,     21515.75,-8.20
,Nifty50 TR 1x Inv,       165.35,       165.70,       165.95,       164.80,       165.35,0.00
,Nifty50 Value 20,     13127.45,     13139.15,     13208.00,     13113.20,     13178.60,51.15
,Nifty Mid Liq 15,     16051.00,     16070.80,     16196.80,     15975.80,     16160.55,109.55
,Nifty Pvt Bank,     28338.50,     28253.35,     28490.50,     28230.45,     28332.95,-5.55
,NIFTY100 Qualty30,      5786.55,      5785.85,      5793.65,      5751.15,      5786.95,0.40
,Nifty GS 8 13Yr,      2963.10,      2963.64,      2966.03,      2960.37,      2963.13,0.03
,Nifty GS 10Yr,      2607.88,      2608.35,      2611.95,      2607.28,      2610.65,2.77
,Nifty GS 10Yr Cln,       892.16,       892.16,       893.41,       891.79,       892.96,0.80
,Nifty GS 4 8Yr,      3217.00,      3217.58,      3218.90,      3214.81,      3216.78,-0.22
,Nifty GS 11 15Yr,      3231.21,      3231.81,      3233.93,      3230.12,      3231.94,0.73
,Nifty GS 15YrPlus,      3458.83,      3459.52,      3464.12,      3459.52,      3462.33,3.50
,Nifty GS Compsite,      3042.80,      3043.36,      3044.92,      3041.10,      3043.53,0.73
,NIFTY HEALTHCARE,     14566.60,     14557.85,     14568.30,     14442.65,     14552.30,-14.30
,NIFTY CONSR DURBL,     36866.30,     36778.80,     37189.20,     36674.95,     37001.35,135.05
