SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,51.36,51.36
WHEELS,18.48,18.48
RIIL,121.66,121.66
PREMIERPOL,16.28,16.28
RAYMOND,13.67,13.67
SHREDIGCEM,47.74,47.74
SESHAPAPER,18.15,18.15
SMLMAH,36.66,36.66
SUNDRMFAST,36.08,36.08
FACT,592.04,716.41
EXIDEIND,36.23,36.23
ELECON,20.87,24.06
CRISIL,44.28,44.28
LMW,155.45,154.46
NELCO,260.09,260.09
MASTEK,16.91,17.11
MAHSCOOTER,66.32,82.61
LUMAXIND,71.20,71.20
TRENT,94.12,94.12
KECL,300.00,
CUMMINSIND,66.66,67.00
KCP,8.04,7.42
JAYBARMARU,18.93,18.93
JBCHEPHARM,41.07,41.07
INFY,24.38,24.38
INDIAGLYCO,34.67,34.67
IONEXCHANG,26.30,26.30
IFBIND,50.47,50.47
IGPL,19.78,19.78
HIMATSEIDE,21.82,8.21
GNFC,13.14,13.14
BPCL,10.49,10.34
BHARATFORG,65.58,65.37
BASF,41.88,42.55
FORCEMOT,25.69,36.47
ATUL,33.97,33.97
ARVIND,21.75,21.75
ACC,13.68,14.17
TMPV,5.99,5.84
SCI,11.13,11.13
LINDEINDIA,116.01,116.01
HINDPETRO,9.14,9.14
ESCORTS,32.50,34.15
RELINFRA,0.73,0.84
BAJAJHLDNG,60.70,186.59
ASHOKLEY,28.25,28.37
VOLTAS,59.91,59.91
TITAN,93.46,93.46
TATASTEEL,52.06,48.39
SUNDARMFIN,29.26,29.26
SPIC,12.78,12.78
VEDL,11.20,12.39
SBIN,11.13,11.13
RELIANCE,22.23,22.23
PFIZER,28.62,34.23
NOCIL,27.44,27.44
BOSCHLTD,39.85,47.89
DRREDDY,18.54,18.54
BATAINDIA,57.88,55.10
DEEPAKFERT,15.51,15.51
CHAMBLFERT,10.95,10.95
CARBORUNIV,79.71,110.40
MAHSEAMLES,8.47,8.44
HINDOILEXP,13.75,17.55
DICIND,28.31,29.26
COROMANDEL,29.19,33.24
BALMLAWRIE,14.63,14.63
WILLAMAGOR,1.21,1.21
VINDHYATEL,21.36,21.36
MOTOGENFIN,121.11,121.11
ASIANPAINT,76.35,71.22
RAMCOCEM,78.31,217.63
INDIACEM,,590.24
PGHL,31.52,31.52
BEML,46.95,46.95
ADOR,49.28,41.45
CENTENKA,16.47,16.47
TATACHEM,54.25,39.31
TORNTPHARM,63.75,63.20
VTL,16.08,16.08
SUNDROP,,65.38
FEDERALBNK,15.80,15.80
EPL,17.01,16.86
VLSFINANCE,41.11,41.11
SUPREMEIND,54.33,54.33
SRF,62.84,62.84
BIRLACABLE,65.91,65.91
BALRAMCHIN,23.37,23.37
AEGISLOG,31.88,31.88
WEIZMANIND,18.46,18.46
UNICHEMLAB,24.58,24.58
BBOX,39.68,31.08
HONAUT,58.48,58.48
JTEKTINDIA,54.42,54.84
SAURASHCEM,63.68,163.76
RANEHOLDIN,8.77,53.83
PRECOT,11.25,11.25
TATAELXSI,41.53,41.53
SUNPHARMA,41.32,37.37
KOHINOOR,0.27,
SHREYANIND,4.43,4.43
SANDESH,9.57,9.65
HCC,13.37,
APOLLOHOSP,62.38,62.38
ARE&M,19.68,21.60
ADANIENT,62.53,73.89
IVP,16.79,16.79
BALKRISIND,31.88,31.88
INDBANK,19.60,19.60
GINNIFILA,17.72,14.43
EICHERMOT,47.09,47.09
GVT&D,99.42,99.42
NEULANDLAB,115.02,154.35
ONGC,7.32,7.30
ZENSARTECH,24.59,24.59
TAINWALCHM,26.87,26.87
BERGEPAINT,56.75,55.37
BANARISUG,39.80,39.80
JINDALPOLY,,38.21
ANIKINDS,65.76,65.76
KPIL,28.45,28.45
JYOTISTRUC,28.52,28.52
IGARASHI,73.39,73.39
BSL,25.27,25.27
BLUEDART,51.08,51.08
JAYNECOIND,29.21,29.21
MUNJALSHOW,19.40,19.40
APCOTEXIND,33.16,33.16
SOTL,19.21,19.21
HSCL,37.60,37.60
RCF,26.85,27.11
RANASUG,5.45,5.45
KARURVYSYA,12.06,12.06
DECCANCE,53.68,53.68
ARENTERP,179.08,179.08
UFLEX,11.25,8.73
TATAPOWER,28.69,27.78
ADVANIHOTR,20.54,20.54
THOMASCOOK,26.21,25.61
SUNFLAG,23.85,23.85
SUBROS,35.06,35.06
SPMLINFRA,27.43,27.43
SIMPLEXINF,83.26,193.20
SIEMENS,54.96,54.96
BHARATRAS,27.09,25.19
WIPRO,20.31,20.31
VSTIND,14.54,20.22
JUBLPHARMA,36.41,34.46
UNIVCABLES,45.89,45.89
TATACOMM,36.39,56.17
TOKYOPLAST,100.77,100.77
SOMANYCERA,32.43,31.70
MURUDCERA,20.67,20.67
IFCI,25.43,25.23
HLVLTD,31.22,32.47
SANOFI,26.16,26.61
M&M,34.00,34.00
LIBERTSHOE,37.62,33.62
KAJARIACER,49.81,49.81
KABRAEXTRU,35.27,51.34
HEIDELBERG,33.82,33.82
MODTHREAD,48.04,48.04
MANGLMCEM,34.47,34.47
PRSMJOHNSN,158.84,
POLYPLEX,12.29,12.29
PIDILITIND,66.95,66.39
PCBL,29.64,29.60
3PLAND,33.43,33.43
OSWALAGRO,6.38,6.38
EIHAHOTELS,22.81,21.81
HONDAPOWER,32.03,32.03
JINDALSAW,7.24,7.24
SAIL,20.83,20.71
RUBYMILLS,16.27,16.27
STYRENIX,15.69,15.69
ABB,60.92,60.92
IDBI,13.37,13.37
GRAPHITE,29.32,29.32
CANFINHOME,13.96,13.96
BRITANNIA,66.50,66.50
BBL,22.60,22.60
ELECTCAST,8.03,8.03
DHAMPURSUG,15.99,15.99
DCMSHRIRAM,30.90,30.90
DABUR,49.97,49.97
COSMOFIRST,12.60,12.60
CIPLA,22.36,22.36
HEROMOTOCO,25.71,25.71
HDFCBANK,21.00,20.72
HARRMALAYA,11.35,11.35
GMBREW,16.98,16.98
GIPCL,11.29,11.29
ITC,24.82,24.82
INDIANHUME,3.83,24.57
HINDCOMPOS,18.33,13.44
IOC,16.34,18.66
OSWALGREEN,80.40,80.40
HUHTAMAKI,20.93,21.60
RICOAUTO,48.88,47.12
KAMATHOTEL,13.74,13.72
IFBAGRO,37.22,37.22
BANCOINDIA,23.00,23.00
MANINDS,19.44,19.44
APOLLOTYRE,38.14,40.38
SIYSIL,15.11,15.11
SHANTIGEAR,37.39,37.39
PRECWIRE,43.39,43.39
ONWARDTEC,18.52,18.52
NILKAMAL,21.43,21.43
NCC,11.62,11.62
ICIL,26.47,26.47
SEAMECLTD,22.63,22.65
ELGIEQUIP,41.81,41.81
AUROPHARMA,20.27,20.27
BBTC,6.33,6.41
EIHOTEL,35.28,30.61
LICHSGFIN,5.25,5.25
GICHSGFIN,7.13,6.66
BEPL,12.75,12.75
BANARBEADS,27.06,27.06
MOREPENLAB,23.31,23.31
WSTCSTPAPR,9.65,9.65
VENKEYS,34.96,34.96
GHCL,8.89,8.89
S&SPOWER,2273.35,224.43
PRUDMOULI,12.63,12.63
PRAJIND,43.64,43.64
BPL,,4.44
TRANSWORLD,19.44,12.76
KEEPLEARN,70.27,70.27
PGHH,50.91,50.91
VESUVIUS,37.22,37.22
TFCILTD,27.19,27.19
BOMDYEING,5.53,158.70
NAVNETEDUL,14.43,16.08
GUJALKALI,76.89,76.89
AGI,13.24,13.24
GLAXO,46.04,46.20
TATACONSUM,82.65,83.33
ZEEL,12.61,11.62
CHOLAFIN,31.73,31.73
INDHOTEL,49.61,56.72
FMGOETZE,13.88,13.88
KOTAKBANK,22.78,22.78
LYKALABS,34.59,34.59
ORIENTHOT,35.96,35.96
JAYSREETEA,3.26,6.71
GILLETTE,46.07,46.07
GOLDENTOBC,8.38,9.51
KANSAINER,16.32,30.23
FOSECOIND,45.77,45.77
ESABINDIA,54.19,54.19
3MINDIA,79.69,79.69
ANDHRAPAP,16.11,16.11
GABRIEL,55.20,55.20
SCHAEFFLER,58.38,58.38
AARTIIND,56.14,56.89
RALLIS,29.90,30.01
AMJLAND,10.47,10.47
PRAKASH,6.58,6.58
MFSL,170.72,170.72
KSB,51.86,51.86
KOPRAN,17.94,17.94
HEG,55.31,55.31
GREAVESCOT,280.98,
GODFRYPHLP,44.09,44.09
VARDMNPOLY,10.75,10.75
SURYAROSNI,19.88,19.88
TATAINVEST,167.05,167.05
TIMKEN,50.87,50.87
SUDARSCHEM,99.43,
SHREECEM,63.11,63.11
SAKHTISUG,10.60,17.10
IPCALAB,43.01,39.98
INGERRAND,41.01,41.01
AKZOINDIA,35.15,35.15
HINDALCO,11.27,11.01
HINDZINC,23.86,23.72
HINDUNILVR,49.35,50.09
GSFC,10.79,10.87
GRASIM,22.87,22.49
AMBUJACEM,25.10,25.16
FINPIPE,28.92,28.92
FINCABLES,20.52,22.24
EIDPARRY,8.80,10.17
DCW,49.71,49.71
DCM,63.47,63.47
CGPOWER,100.24,100.24
HEUBACHIND,17.21,15.39
CESC,15.22,15.22
BIRLACORPN,21.56,20.02
BHEL,418.23,418.23
BHARATGEAR,24.19,
BEL,51.56,51.56
BAJFINANCE,35.31,35.31
ASHAPURMIN,22.48,22.48
PVP,,3207.32
NAVA,11.63,11.63
CORALFINAC,10.26,10.26
GREENPLY,26.20,27.01
PARASPETRO,1371.16,1371.16
AUTOAXLES,17.56,17.56
REMSONSIND,21.59,20.76
DALMIASUG,6.57,6.57
NATCOPHARM,9.74,9.74
KHAITANLTD,7.31,7.31
SWARAJENG,25.53,25.53
MRF,35.78,35.78
GARFIBRES,28.31,28.31
ANDHRSUGAR,20.21,14.53
TNPETRO,11.95,13.11
TTKPRESTIG,91.74,42.57
STARPAPER,6.28,6.28
SKFINDIA,16.97,16.97
AUSOMENT,8.68,8.68
EIMCOELECO,18.08,18.08
