SYMBOL,SERIES,SECURITY,HIGH/LOW
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,H
AARTISURF,P1,AARTI SURFACTANTS LIMITED,H
ALPSINDUS,BE,ALPS INDUSTRIES LTD.,H
ANSALAPI,BZ,ANSAL PROP & INFRA LTD,H
ARHAM,ST,ARHAM TECHNOLOGIES LTD,H
ARSHIYA,BZ,ARSHIYA LIMITED,H
AURIGROW,EQ,AURI GROW INDIA LIMITED,H
AWHCL,EQ,ANTONY WASTE HDG CELL LTD,H
AXISCADES,BE,AXISCADES TECH LTD,H
BHAGYANGR,BE,BHAGYANAGAR INDIA LIMITED,H
BOHRAIND,EQ,BOHRA INDUSTRIES LIMITED,H
CADSYS,SM,CADSYS (INDIA) LIMITED,H
CCCL,BE,CONS. CONST. CONSORT LTD,H
CHAVDA,SM,CHAVDA INFRA LIMITED,H
COMPINFO,BZ,COMPUAGE INFOCOM LTD,H
DHTL,ST,DOCMODE HEALTH TECH LTD,H
DIVINEHIRA,ST,DIVINE HIRA JEWELLERS LTD,H
DIVYADHAN,SM,DIVYADHAN RECYCLING IND L,H
EMBDL,BE,EMBASSY DEVELOPMENTS LTD,H
ENCOMPAS,ST,ENCOMPASS DESIGN INDIA L,H
EXCEL,EQ,EXCEL REALTY N INFRA LTD,H
FEL,BZ,FUTURE ENTERPRISES LTD,H
FELDVR,BZ,FUTURE ENTERPRISES LTD,H
FISCHER,EQ,FISCHER MEDICAL VENTURE L,H
GABRIEL,EQ,GABRIEL INDIA LTD,H
GIRIRAJ,SM,GIRIRAJ CIVIL DEVP LTD,H
GSTL,ST,GLOBESECURE TECHNO LTD,H
GVKPIL,BE,GVK POW. & INFRA LTD.,H
ISHAN,SM,ISHAN INTERNATIONAL LTD,H
JALAN,SM,JALAN TRANSOLU. INDIA LTD,H
JFLLIFE,SM,JFL LIFE SCIENCES LIMITED,H
KATARIA,SM,KATARIA INDUSTRIES LTD,H
KEEPLEARN,EQ,DSJ KEEP LEARNING LTD,H
KESORAMIND,BE,KESORAM INDUSTRIES LTD,H
KSHITIJPOL,EQ,KSHITIJ POLYLINE LIMITED,H
LCCINFOTEC,BE,LCC INFOTECH LTD,H
LGHL,EQ,LAXMI GOLDORNA HOUSE LTD,H
MADHUCON,EQ,MADHUCON PROJECTS LTD.,H
MAFANG,EQ,MIRAEAMC - MAFANG,H
MAHKTECH,EQ,MIRAEAMC - MAHKTECH,H
MASPTOP50,EQ,MIRAEAMC - MASPTOP50,H
MCON,SM,MCON RASAYAN INDIA LTD,H
MIDWESTLTD,EQ,MIDWEST LIMITED,H
MTEDUCARE,BE,MT EDUCARE LTD,H
NEOCHEM,ST,NEOCHEM BIO SOLUTIONS LTD,H
NIRMAN,SM,NIRMAN AGRI GENTICS LTD,H
OSELDEVICE,ST,OSEL DEVICES LIMITED,H
OSWALSEEDS,EQ,SHREEOSWAL S AND CHE LTD,H
PKTEA,EQ,THE P K TEA PROD CO LTD,H
PREMIER,BE,PREMIER LIMITED,H
PRIZOR,SM,PRIZOR VIZTECH LIMITED,H
RELINFRA,BE,RELIANCE INFRASTRUCTU LTD,H
SAIFL,SM,SAMEERA AGRO AND INFRA L,H
SALSTEEL,BE,S.A.L. STEEL LTD.,H
SANCO,BZ,SANCO INDUSTRIES LIMITED,H
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,H
SELMC,EQ,SEL MANUFACTURING CO LTD,H
SETUINFRA,BZ,SETUBANDHAN INFRA LTD,H
SICALLOG,BE,SICAL LOGISTICS LIMITED,H
SITINET,BZ,SITI NETWORKS LIMITED,H
SPECTSTM,SM,SPECTRUM TALENT MGMT LTD,H
SRPL,BZ,SHREE RAM PROTEINS LTD.,H
SUMEETINDS,BE,SUMEET IND LIMITED,H
SUNLITE,ST,SUNLITE RECYCLING IND LTD,H
TCIFINANCE,EQ,TCI FINANCE LTD,H
TEJASCARGO,SM,TEJAS CARGO INDIA LIMITED,H
TVVISION,BE,TV VISION LIMITED,H
VERITAAS,SM,VERITAAS ADVERTISING LTD,H
VITAL,SM,VITAL CHEMTECH LIMITED,H
VIVIMEDLAB,BE,VIVIMED LABS LIMITED,H
WAAREEINDO,BE,INDOSOLAR LIMITED,H
675GS2029,GS,GOI LOAN   6.75% 2029,L
ABAN,BE,ABAN OFFSHORE LTD.,L
ANKITMETAL,BZ,ANKIT MET & POW LTD,L
ANSALAPI,BZ,ANSAL PROP & INFRA LTD,L
ARISTO,SM,ARISTO BIO T AND LIFESC L,L
ARTNIRMAN,EQ,ART NIRMAN LIMITED,L
ARVINDPORT,SM,ARVIND PORT AND INFRA LTD,L
ATLANTAA,BE,ATLANTAA LIMITED,L
BEACON,ST,BEACON TRUSTEESHIP LTD,L
CBAZAAR,ST,NET AVENUE TECHNOLOGIES L,L
CEDAAR,SM,CEDAAR TEXTILE LIMITED,L
DESTINY,SM,DESTINY LOGISTICS & I LTD,L
DHARAN,BZ,DHARAN INFRA-EPC LIMITED,L
ESCONET,SM,ESCONET TECHNOLOGIES LTD,L
EUROTEXIND,BE,EUROTEX IND & EXPORTS LTD,L
FEL,BZ,FUTURE ENTERPRISES LTD,L
GIRIRAJ,SM,GIRIRAJ CIVIL DEVP LTD,L
GKENERGY,EQ,GK ENERGY LIMITED,L
GOLDENTOBC,BZ,GOLDEN TOBACCO LIMITED,L
GRCL,SM,GAYATRI RUBB AND CHEM LTD,L
GVKPIL,BE,GVK POW. & INFRA LTD.,L
HALEOSLABS,BE,HALEOS LABS LIMITED,L
HOLMARC,SM,HOLMARC OPTO MECHATRO L,L
IMPEXFERRO,BZ,IMPEX FERRO TECH LIMITED,L
INDOTHAI,BE,INDO THAI SEC LTD,L
INVICTA,ST,INVICTA DIAGNOSTIC LTD,L
ITTL,ST,INNOVATIVE TYRE & TUBE LT,L
JETFREIGHT,BE,JET FREIGHT LOGISTICS LTD,L
KSHITIJPOL,EQ,KSHITIJ POLYLINE LIMITED,L
LOTUSEYE,EQ,LOTUS EYE HOSP & INST L,L
MANAV,ST,MANAV INFRA PROJECTS LTD,L
MANDEEP,SM,MANDEEP AUTO INDUSTRIES L,L
MASKINVEST,BE,MASK INVESTMENTS LIMITED,L
MAYASHEEL,ST,MAYASHEEL VENTURES LTD,L
MIEL,SM,MANGLAM INFRA & ENG LTD,L
NAVKARURB,EQ,NAVKAR URBANSTRUCTURE LTD,L
NEOCHEM,ST,NEOCHEM BIO SOLUTIONS LTD,L
ONELIFECAP,BE,ONELIFE CAP ADVISORS LTD,L
OSELDEVICE,ST,OSEL DEVICES LIMITED,L
OSIAHYPER,EQ,OSIA HYPER RETAIL LIMITED,L
PRECISION,SM,PRECISION METALIKS LTD,L
PRUDMOULI,EQ,PRUDENTIAL SUGAR CORPORAT,L
QUADPRO,SM,QUADPRO ITES LIMITED,L
RCOM,BE,RELIANCE COMMUNICATIONS L,L
RHFL,BZ,RELIANCE HOME FINANCE LTD,L
S&SPOWER,EQ,S&S POWER SWITCHGEARS LTD,L
SACHEEROME,ST,SACHEEROME LIMITED,L
SANCO,BZ,SANCO INDUSTRIES LIMITED,L
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,L
SATECH,SM,S A TECH SOFTWARE INDIA L,L
SETUINFRA,BZ,SETUBANDHAN INFRA LTD,L
SHRIKANHA,ST,SHRI KANHA STAINLESS LTD,L
SIDDHIKA,SM,SIDDHIKA COATINGS LIMITED,L
SITINET,BZ,SITI NETWORKS LIMITED,L
SPCENET,BE,SPACENET ENTERS IND LTD,L
SPRL,ST,SP REFRACTORIES LIMITED,L
STALLION,BE,STALLION IND FLUOROCHEM L,L
SUPREMEENG,BZ,SUPREME ENGINEERING LTD,L
SUPREMEINF,BZ,SUPREME INFRA. LTD,L
SVPGLOB,BE,SVP GLOBAL TEXTILES LTD,L
SYNOPTICS,SM,SYNOPTICS TECHNOLOGIES L,L
TGL,ST,TEERTH GOPICON LIMITED,L
TVSELECT,BE,TVS ELECTRONICS LTD,L
UNIHEALTH,ST,UNIHEALTH HOSPITALS LTD,L
UNITEDPOLY,BE,UNITED POLYFAB GUJ. LTD.,L
USASEEDS,SM,UPSURGE SEEDS OF AGRI LTD,L
VCL,BE,VAXTEX COTFAB LIMITED,L
VIAZ,SM,VIAZ TYRES LIMITED,L
VIESL,ST,VISION INFRA EQUIP SOL L,L
VIVIMEDLAB,BE,VIVIMED LABS LIMITED,L
VSCL,SM,VADIVARHE SPCLTY CHEM LTD,L
WINSOME,BZ,WINSOME YARNS LIMITED,L
