MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AV,990SCL26I,SEC RE NCD 9.90% SR IV,       570.00,       680.00,       680.00,       680.00,       680.00,                     2720.00,4, ,1,       700.00,       516.00
N,N0,1075WCA28,WCAPL 10.75% 2028,      9700.00,      9502.00,      9502.00,      9501.10,      9501.10,                    57011.10,6, ,2,      9800.00,      9256.73
N,N0,111ESFB31,ESFB 11.1% 2031 SR 1,     99000.00,    100000.00,    100000.00,    100000.00,    100000.00,                  1100000.00,11, ,2,    100700.00,     97500.00
N,N0,118VCCL27B,VCCL 11.8% 2027 SR B,    100355.62,    100387.95,    100387.95,    100387.95,    100387.95,                  2208534.90,22, ,6,    100452.60,     99600.00
N,N0,12AFIL27A,AFIL 12% 2027,      9000.00,      9851.01,      9866.00,      9850.00,      9866.00,                   147911.01,15, ,4,     10000.00,      8958.13
N,N0,12AFIL28,AFIL 12% 2028,      9780.00,      9804.00,      9804.00,      9754.98,      9754.98,                   146814.90,15, ,2,      9900.00,      9400.00
N,N0,885MOFSL26,SEC RE NCD 8.85% SR I,      1051.00,      1040.21,      1040.21,      1040.00,      1040.00,                   104015.75,100, ,2,      1065.00,       940.00
N,N0,915APSBC30,APSBC 9.15% 2030 STRPP E,    100000.00,    101166.31,    101166.31,    101166.31,    101166.31,                   505831.55,5, ,2,    101166.31,    101166.31
N,N0,915APSBC32,APSBC 9.15% 2032 STRPP G,    100000.00,    101520.21,    101520.21,    101520.21,    101520.21,                   203040.42,2, ,2,    101520.21,    101520.21
N,N0,930APMD31,APMD 9.30% 2031 STRPP E,    102500.00,    103644.66,    103644.66,    103644.66,    103644.66,                   829157.28,8, ,1,    103644.66,    100100.00
N,N0,930APMD32,APMD 9.30% 2032 STRPP F,    103850.00,    104424.66,    104649.00,    104424.66,    104649.00,                 10861062.00,104, ,2,    104649.00,    100000.00
N,N0,930APMD33,APMD 9.30% 2033 STRPP G,    105000.00,    104501.00,    104501.00,    104500.00,    104500.00,                   522503.00,5, ,2,    105000.00,    100561.00
N,N0,930APMD35,APMD 9.30% 2035 STRPP I,    105999.00,    105000.00,    105000.00,    100404.00,    100404.00,                   725808.00,7, ,3,    105999.00,    100000.00
N,N0,935AKCF27,AKCFL 9.35% MAY 2027,    100000.00,    104535.62,    104535.62,    104535.62,    104535.62,                   418142.48,4, ,1,    104535.62,    104535.62
N,N0,935TSI29,TSI 9.35% 29 SR I-C,    101600.00,    101800.00,    101999.83,    101800.00,    101999.83,                   203799.83,2, ,2,    104307.28,    101193.63
N,N0,935TSI30,TSI 9.35% 30 SR I-D,    102073.89,    102097.90,    102097.90,    102097.90,    102097.90,                  1225174.80,12, ,4,    112000.00,    101156.00
N,N0,935TSI34,TSI 9.35% 34 SR I-H,    105000.00,    103509.80,    103509.80,    103409.00,    103509.80,                  3000756.60,29, ,6,    106500.00,    102067.20
N,N0,935TSIIC28,TSIIC 9.35% 2028 SR I- B,    103199.00,    101182.00,    101182.00,    101182.00,    101182.00,                   303546.00,3, ,1,    103199.00,    100000.00
N,N0,975ISF28,ISF 9.75% NCD 2028,    100180.00,     99120.14,     99120.14,     99120.00,     99120.00,                  1090321.40,11, ,2,    100691.74,     98095.10
N,N0,975SCL28A,SCL 9.75% 2028,     99590.54,     99590.00,     99590.00,     99590.00,     99590.00,                   398360.00,4, ,3,    100000.00,     98103.46
N,N0,975SCL35,SCL 9.75% 2035 SR II,     90710.45,     90711.00,     90711.00,     90711.00,     90711.00,                    90711.00,1, ,1,    103489.73,     90500.00
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       253.00,       254.10,       254.10,       254.00,       254.00,                    21595.00,85, ,3,       261.00,       240.50
N,N1,1040UCL27B,SEC RE NCD 10.40% SR III,      1001.00,       996.00,      1000.00,       995.00,      1000.00,                     2991.00,3, ,3,      1048.00,       850.00
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       311.05,       311.00,       311.00,       311.00,       311.00,                   155500.00,500, ,2,       342.10,       300.08
N,N1,888ECL28,ECL 8.88% 2028 SR V,       970.08,       970.00,       973.99,       970.00,       973.98,                   722453.06,744, ,4,       985.00,       935.00
N,N1,902SCL28,SCL 9.02% SR V,       999.98,       919.00,       919.00,       919.00,       919.00,                   183800.00,200, ,1,      1000.00,       821.85
N,N1,948SCL27D,SEC RE NCD 9.48% SR V,       984.00,       984.00,       984.00,       984.00,       984.00,                    15744.00,16, ,2,      1000.00,       901.20
N,N1,965SCL26F,SEC RE NCD 9.65% SR I,      1005.00,      1001.19,      1001.19,      1001.19,      1001.19,                    24028.56,24, ,1,      1099.00,       902.00
N,N1,971SCL29T,SCL 9.71% 2029 SR VIII,       901.20,       978.10,       978.10,       978.10,       978.10,                    97810.00,100, ,1,       979.90,       901.20
N,N1,990SCL27B,SEC RE NCD 9.90% SR IV,       990.00,      1005.30,      1005.30,      1005.30,      1005.30,                    63333.90,63, ,2,      1006.25,       950.00
N,N1,990SCL28,SCL 9.90% SR IV,      1011.20,      1010.20,      1010.20,      1010.20,      1010.20,                    20204.00,20, ,1,      1051.00,       900.30
N,N1,SCL25924A,SEC RE NCD SR III,      1087.10,      1097.81,      1097.81,      1087.10,      1096.73,                    10967.39,10, ,2,      1097.81,       925.20
