SECURITY,NEW,PREVIOUS,NEW_STATUS
360ONEAMC - SILVER360         ,199.53,198.00,H
AEQUS LIMITED                 ,165.40,164.39,H
ASL INDUSTRIES LIMITED        ,111.85,109.70,H
AXISAMC - AXISILVER           ,203.98,200.50,H
BANDHANAMC - SILVERBND        ,206.94,203.45,H
BARODABNP - BBNPPGOLD         ,131.50,130.50,H
BIRLASLAMC - SILVER           ,204.64,201.39,H
CANARA HSBC LIFE INS CO L     ,128.28,128.20,H
CHOICEAMC - CHOICEGOLD        ,133.78,133.21,H
CLEAR SECURED SERVICES L      ,120.50,119.00,H
DSPAMC - DSPSILVETF           ,197.70,194.85,H
DSPAMC - MIDCAPADD            ,22.03,21.96,H
DSPAMC - SMALLADD             ,16.50,16.32,H
EDELAMC - ESILVER             ,203.31,201.47,H
FLYWINGS SIMULAT T C LTD      ,248.00,236.90,H
GROWWAMC - GROWWSLVR          ,201.72,198.28,H
HDFCAMC - HDFCSILVER          ,195.45,193.88,H
ICICIPRAMC - ICICISILVE       ,205.19,201.40,H
KOTAKMAMC - KOTAKSILVE        ,199.99,198.10,H
MEESHO LIMITED                ,254.40,216.34,H
MIRAEAMC - MASILVER           ,198.01,196.85,H
MOTILALAMC - MOSILVER         ,201.26,199.00,H
NIPPONAMC - NETFSILVER        ,194.80,193.45,H
SBIAMC - SBISILVER            ,199.79,197.85,H
TATA MOTORS LIMITED           ,406.80,397.50,H
TATAAML-TATSILV               ,20.88,19.73,H
UTIAMC - SILVERETF            ,199.49,195.59,H
AARTECH SOLONICS LIMITED      ,47.01,48.01,L
ADITYA BIRLA LIFES BRAN L     ,121.18,124.50,L
AFCONS INFRASTRUCTURE LTD     ,378.00,381.70,L
AFFORD ROBO & AUTO LTD        ,191.86,203.58,L
ARSHIYA LIMITED               ,1.16,1.19,L
ASTRON PAPER BORD MIL LTD     ,5.85,5.86,L
BAWEJA STUDIOS LIMITED        ,37.25,37.60,L
BRIGADE HOTEL VENTURE LTD     ,70.44,70.95,L
CHEMPLAST SANMAR LIMITED      ,246.90,250.50,L
CLEAN SCIENCE & TECH LTD      ,873.75,877.70,L
CORONA REMEDIES LIMITED       ,1341.00,1380.00,L
DECCAN TRANSCON LEASING L     ,24.00,24.20,L
DEEPAK BUILDERS & ENG I L     ,116.00,117.00,L
DEV INFO TECHNOLOGY LTD       ,34.10,35.45,L
DHARAN INFRA-EPC LIMITED      ,0.27,0.28,L
