"Security Name","Symbol Name","Trade Date","Quantity"
"MRPL","MRPL","15-Dec-2025","100"
"IDEA CELLULAR LIMITED","IDEA","15-Dec-2025","147"
"YES BANK LIMITED","YESBANK","15-Dec-2025","77449"
"MAN INDUSTRIES (I) LTD.  ","MANINDS","15-Dec-2025","200"
"KNR CONSTRU LTD","KNRCON","15-Dec-2025","20"
"AARTI INDUSTRIES LTD","AARTIIND","15-Dec-2025","906"
"HINDUSTAN UNILEVER LTD.","HINDUNILVR","15-Dec-2025","4500"
"SAGILITY INDIA LIMITED","SAGILITY","15-Dec-2025","50"
"TRANS & RECTI. LTD","TARIL","15-Dec-2025","38"
"REFEX INDUSTRIES LIMITED","REFEX","15-Dec-2025","670"
"HINDUSTAN ZINC LIMITED","HINDZINC","15-Dec-2025","250"
"FORTIS HEALTHCARE (I) LTD","FORTIS","15-Dec-2025","2"
"BAJAJ FINANCE LIMITED","BAJFINANCE","15-Dec-2025","150"
"BRITANNIA INDUSTRIES LIMITED","BRITANNIA","15-Dec-2025","5"
"GOLDMAN SACHS NIFTY JUNIOR EXCHANGE TRADED SCHEME","JUNIORBEES","15-Dec-2025","1"
"GOLDMAN SACHS NIFTY EXCHANGE TRADED SCHEME","NIFTYBEES","15-Dec-2025","2"
"CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED","CDSL","15-Dec-2025","91"
"INTERGLOBE AVIATION LTD  ","INDIGO","15-Dec-2025","55"
"CUPID LIMITED","CUPID","15-Dec-2025","100"
"ONE 97 COMMUNICATIONS LTD","PAYTM","15-Dec-2025","5"
"LODHA","LODHA","15-Dec-2025","1"
"BHARAT PETROLEUM CORP  LT","BPCL","15-Dec-2025","18"
"SUN PHARMACEUTICALS IND.","SUNPHARMA","15-Dec-2025","5"
"NHPC LTD","NHPC","15-Dec-2025","2807"
"NESTLE INDIA LIMITED","NESTLEIND","15-Dec-2025","51"
"TEXMACO RAIL & ENG. LTD. ","TEXRAIL","15-Dec-2025","1500"
"GMR AIRPORTS LIMITED","GMRAIRPORT","15-Dec-2025","370"
"ADANI GREEN ENERGY LTD","ADANIGREEN","15-Dec-2025","29"
"NATIONAL BUILDINGS LTD   ","NBCC","15-Dec-2025","800"
"RVNL","RVNL","15-Dec-2025","505"
"PIRAMAL PHARMA LIMITED","PPLPHARMA","15-Dec-2025","3348"
"UJJIVAN SMALL FINANC BANK","UJJIVANSFB","15-Dec-2025","4000"
"TATA TECHNOLOGIES LIMITED","TATATECH","15-Dec-2025","309"
"IDFC FIRST BANK LIMI","IDFCFIRSTB","15-Dec-2025","1514"
"TITAGARH RAIL SYSTEMS","TITAGARH","15-Dec-2025","400"
"AMARA RAJA ENERGY MOB","ARE&M","15-Dec-2025","503"
