as_of,symbol,bias,instrument,action,side,expiry,strike,entry_price,sl_premium,sl_invalidation,t1_underlying,t1_premium,t2_underlying,t2_premium,confidence
2025-12-12,NIFTY,BULLISH,OPTION,BUY,CE,06-JAN-2026,26100.0,439.34999999999997,285.5775,,26149.95537109375,549.1875,26252.9607421875,659.025,0.3
2025-12-12,BANKNIFTY,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.1
2025-12-12,ADANIENT.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,2280.0,258.375,167.94375,,2314.342862374442,322.96875,2346.285724748884,387.5625,0.3
2025-12-12,ADANIPORTS.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,1520.0,139.27499999999998,90.52874999999999,,1536.2321463448661,174.09374999999997,1549.664292689732,208.91249999999997,0.25
2025-12-12,APOLLOHOSP.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,7100.0,461.09999999999997,299.715,,7149.107142857143,576.375,7197.214285714285,691.65,0.25
2025-12-12,ASIANPAINT.NS,BEARISH,OPTION,BUY,PE,24-FEB-2026,2760.0,132.22500000000002,85.94625000000002,,2738.253578404018,165.28125000000003,2711.707156808036,198.33750000000003,0.25
2025-12-12,AXISBANK.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,1280.0,89.4,58.11000000000001,,1295.3428632463726,111.75,1304.5857264927454,134.10000000000002,0.25
2025-12-12,BAJAJ-AUTO.NS,BEARISH,OPTION,BUY,PE,24-FEB-2026,9000.0,491.54999999999995,319.5075,,8941.94642857143,614.4375,8868.892857142857,737.3249999999999,0.25
2025-12-12,BAJAJFINSV.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,2080.0,153.375,99.69375000000001,,2102.5178370884487,191.71875,2121.8856741768973,230.0625,0.3
2025-12-12,BAJFINANCE.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,1020.0,80.1,52.065,,1027.7964359828404,100.125,1038.2928719656807,120.14999999999999,0.25
2025-12-12,BHARTIARTL.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,2080.0,136.35000000000002,88.62750000000001,,2100.1285505022324,170.43750000000003,2116.8571010044643,204.52500000000003,0.25
2025-12-12,BPCL.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,380.0,20.025,13.01625,,369.16607251848495,25.03125,373.2821450369699,30.037499999999998,0.25
2025-12-12,BRITANNIA.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,5900.0,384.15000000000003,249.69750000000002,,5963.464285714285,480.18750000000006,6011.428571428572,576.225,0.25
2025-12-12,CIPLA.NS,BEARISH,OPTION,BUY,PE,24-FEB-2026,1500.0,64.125,41.68125,,1507.6964215959822,80.15625,1497.9928431919643,96.1875,0.25
2025-12-12,COALINDIA.NS,BEARISH,OPTION,BUY,PE,24-FEB-2026,375.0,14.850000000000001,9.652500000000002,,380.8821415492467,18.5625,378.41428309849334,22.275000000000002,0.25
2025-12-12,DIVISLAB.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.1
2025-12-12,DRREDDY.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,1280.0,79.19999999999999,51.48,,1288.6821533203124,98.99999999999999,1298.014306640625,118.79999999999998,0.3
2025-12-12,EICHERMOT.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.1
2025-12-12,GRASIM.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,2840.0,162.0,105.3,,2857.0285784040175,202.5,2877.3571568080356,243.0,0.25
2025-12-12,HCLTECH.NS,BEARISH,OPTION,BUY,PE,24-FEB-2026,1680.0,97.42500000000001,63.32625000000001,,1660.7249982561384,121.78125000000001,1648.2499965122768,146.13750000000002,0.25
2025-12-12,HDFCBANK.NS,BEARISH,OPTION,BUY,PE,24-FEB-2026,990.0,26.849999999999998,17.4525,,994.2535744803292,33.5625,987.1071489606585,40.275,0.3
2025-12-12,HDFCLIFE.NS,BEARISH,OPTION,BUY,PE,24-FEB-2026,760.0,27.0,17.55,,769.874997820173,33.75,762.249995640346,40.5,0.25
2025-12-12,HEROMOTOCO.NS,BEARISH,OPTION,BUY,PE,24-FEB-2026,6000.0,390.59999999999997,253.89,,5897.232142857143,488.24999999999994,5834.464285714285,585.9,0.3
