as_of,symbol,bias,instrument,action,side,expiry,strike,entry_price,sl_premium,sl_invalidation,t1_underlying,t1_premium,t2_underlying,t2_premium,confidence,spot,ltp,iv,dte,theta_per_day,delta,extrinsic,sell_by
2025-12-16,NIFTY,BEARISH,OPTION,BUY,PE,23/12/2025,25800.0,81.58,46.77,25933.07,25665.85,125.09,25513.16,159.9,0.6,25818.55,84.1,7.62,7,-5.51,-0.42,84.1,2025-12-22
2025-12-16,NIFTY,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,BANKNIFTY,BEARISH,OPTION,BUY,PE,30/12/2025,58900.0,302.54,173.44,59230.3,58522.01,463.92,58117.28,593.03,0.72,58926.75,311.9,8.65,14,-9.11,-0.42,311.9,2025-12-29
2025-12-16,BANKNIFTY,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,ADANIENT,BEARISH,OPTION,BUY,PE,30/12/2025,2240.0,37.88,21.71,2283.85,2199.97,58.08,2152.04,74.25,0.71,2247.9,39.05,26.08,14,-1.42,-0.44,39.05,2025-12-28
2025-12-16,ADANIENT.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,APOLLOHOSP,BEARISH,OPTION,BUY,PE,30/12/2025,7050.0,74.3,42.6,7110.09,6973.39,113.94,6895.27,145.64,0.91,7051.5,76.6,15.71,14,-2.44,-0.46,76.6,2025-12-29
2025-12-16,APOLLOHOSP.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,ASIANPAINT,BEARISH,OPTION,BUY,PE,30/12/2025,2800.0,40.84,23.41,2822.63,2748.59,62.62,2706.28,80.05,0.36,2790.9,42.1,18.94,14,-1.2,-0.5,33.0,2025-12-28
2025-12-16,ASIANPAINT.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,AXISBANK,BEARISH,OPTION,BUY,PE,30/12/2025,1220.0,15.71,9.01,1232.35,1202.59,24.1,1185.59,30.8,0.62,1219.6,16.2,18.49,14,-0.51,-0.47,15.8,2025-12-29
2025-12-16,AXISBANK.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,BAJAJ-AUTO,BULLISH,OPTION,BUY,CE,30/12/2025,9000.0,138.32,79.3,8920.36,9124.86,212.1,9241.71,271.13,0.59,9008.0,142.6,17.92,14,-5.39,0.55,134.6,2025-12-27
2025-12-16,BAJAJ-AUTO.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,BAJAJFINSV,BEARISH,OPTION,BUY,PE,30/12/2025,2040.0,28.61,16.4,2057.59,2005.34,43.88,1975.49,56.09,0.62,2035.2,29.5,18.77,14,-0.87,-0.49,24.7,2025-12-28
2025-12-16,BAJAJFINSV.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,BAJFINANCE,BEARISH,OPTION,BUY,PE,30/12/2025,1000.0,14.84,8.51,1010.21,982.66,22.76,966.91,29.09,0.46,998.4,15.3,20.31,14,-0.47,-0.48,13.7,2025-12-29
2025-12-16,BAJFINANCE.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,BHARTIARTL,BULLISH,OPTION,BUY,CE,30/12/2025,2100.0,27.26,15.63,2083.52,2126.63,41.8,2151.27,53.43,0.49,2102.0,28.1,14.7,14,-1.07,0.56,26.1,2025-12-26
2025-12-16,BHARTIARTL.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,BPCL,BEARISH,OPTION,BUY,PE,30/12/2025,367.5,6.16,3.53,372.99,361.7,9.45,355.25,12.07,0.75,368.15,6.35,24.87,14,-0.22,-0.45,6.35,2025-12-28
2025-12-16,BPCL.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,BRITANNIA,BULLISH,OPTION,BUY,CE,30/12/2025,6050.0,93.46,53.58,6001.52,6151.97,143.31,6237.94,183.19,0.68,6066.0,96.35,16.76,14,-3.44,0.57,80.35,2025-12-26
2025-12-16,BRITANNIA.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,CIPLA,BULLISH,OPTION,BUY,CE,30/12/2025,1500.0,18.72,10.73,1488.42,1514.51,28.71,1529.42,36.7,0.53,1499.6,19.3,14.89,14,-0.77,0.54,19.3,2025-12-27
2025-12-16,CIPLA.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,COALINDIA,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.12,381.6,,,,,,,
2025-12-16,EICHERMOT,BEARISH,OPTION,BUY,PE,30/12/2025,7050.0,90.36,51.8,7140.19,6956.59,138.55,6851.67,177.11,0.76,7061.5,93.15,19.56,14,-3.2,-0.45,93.15,2025-12-29
2025-12-16,EICHERMOT.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,HCLTECH,BEARISH,OPTION,BUY,PE,30/12/2025,1660.0,24.3,13.93,1667.27,1630.95,37.26,1610.19,47.63,0.62,1651.7,25.05,17.86,14,-0.65,-0.52,16.75,2025-12-27
2025-12-16,HCLTECH.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,HDFCBANK,BULLISH,OPTION,BUY,CE,30/12/2025,995.0,12.61,7.23,986.79,1004.31,19.34,1014.32,24.72,0.63,994.3,13.0,15.45,14,-0.53,0.53,13.0,2025-12-27
2025-12-16,HDFCBANK.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,HDFCLIFE,BEARISH,OPTION,BUY,PE,30/12/2025,760.0,7.81,4.48,773.18,752.58,11.97,740.81,15.31,0.51,764.35,8.05,18.41,14,-0.32,-0.4,8.05,2025-12-27
2025-12-16,HDFCLIFE.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,HEROMOTOCO,BEARISH,OPTION,BUY,PE,30/12/2025,5950.0,89.43,51.27,6019.31,5849.41,137.14,5752.33,175.3,0.51,5946.5,92.2,21.18,14,-2.95,-0.47,88.7,2025-12-29
2025-12-16,HEROMOTOCO.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,HINDALCO,BEARISH,OPTION,BUY,PE,30/12/2025,840.0,13.48,7.73,846.63,824.51,20.67,811.86,26.43,0.89,837.15,13.9,20.79,14,-0.4,-0.5,11.05,2025-12-28
2025-12-16,HINDALCO.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,HINDUNILVR,BEARISH,OPTION,BUY,PE,30/12/2025,2280.0,22.55,12.93,2310.86,2241.41,34.58,2201.73,44.21,0.58,2281.1,23.25,15.01,14,-0.75,-0.45,23.25,2025-12-29
2025-12-16,HINDUNILVR.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,ICICIBANK,BEARISH,OPTION,BUY,PE,30/12/2025,1370.0,13.92,7.98,1375.43,1353.42,21.34,1340.85,27.28,0.68,1366.0,14.35,13.29,14,-0.37,-0.5,10.35,2025-12-28
2025-12-16,ICICIBANK.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,INDUSINDBK,BEARISH,OPTION,BUY,PE,30/12/2025,850.0,17.41,9.98,856.62,829.62,26.7,814.19,34.13,0.45,845.05,17.95,25.08,14,-0.5,-0.52,13.0,2025-12-27
2025-12-16,INDUSINDBK.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
